name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0,0,0,0,0,0,403,0,0,0,0,112,0,0,0,0,2022-10-19T18:30:00Z,0,0,0,0,0,12,0,3287,0,1,0,0,0,-71,0,71,53,FALSE,0,Bournemouth
Junior Stanislas,MID,Bournemouth,0,0,0,5,0,22.6,58,0,0,0,0,112,0,0,3.9,10,2022-10-19T18:30:00Z,28,0,0,0,0,12,0,2533,0,1,0,6,1,-59,32,91,48,TRUE,0,Southampton
Armando Broja,FWD,Chelsea,0,0,0,3,1,3.8,150,0,0,0,0,113,0,0,2.1,1.2,2022-10-19T18:30:00Z,61,0,0,0,0,12,0,55019,0,0,0,16,2,-1468,2245,3713,53,FALSE,0,Brentford
Fabian Schär,DEF,Newcastle,0,0,0,19,1,0.8,366,0,0,0,0,120,0,0,8.3,16.4,2022-10-19T18:30:00Z,90,0,0,0,0,12,0,1405101,0,0,1,66,5,164183,188987,24804,48,TRUE,1,Everton
Jonny Evans,DEF,Leicester,0,0,0,0,0,0,249,0,0,0,0,117,0,0,0,0,2022-10-20T19:15:00Z,0,0,0,0,0,12,0,24780,0,0,2,0,0,-3256,32,3288,44,TRUE,0,Leeds
Brennan Johnson,FWD,Nott'm Forest,0,0,0,4,1,0.3,394,0,0,0,0,114,0,0,0.3,0,2022-10-18T18:30:00Z,85,0,0,0,0,12,0,112356,0,0,0,4,2,-10732,2169,12901,58,FALSE,0,Brighton
Cheick Doucouré,MID,Crystal Palace,0,0,0,9,0,2.6,514,0,0,0,0,115,1,0,2.3,13,2022-10-18T19:15:00Z,90,0,0,0,0,12,0,15855,0,1,2,7,1,-526,448,974,50,TRUE,1,Wolves
Oliver Hammond,MID,Nott'm Forest,0,0,0,0,0,0,553,0,0,0,0,114,0,0,0,0,2022-10-18T18:30:00Z,0,0,0,0,0,12,0,3991,0,0,0,0,0,-87,99,186,44,FALSE,0,Brighton
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,115,0,0,0,0,2022-10-18T19:15:00Z,0,0,0,0,0,12,0,25428,0,1,2,0,0,-939,0,939,44,FALSE,0,Crystal Palace
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,113,0,0,0,0,2022-10-19T18:30:00Z,0,0,0,0,0,12,0,18250,0,0,0,0,0,-674,0,674,40,TRUE,0,Chelsea
Brandon Austin,GK,Spurs,0,0,0,0,0,0,451,0,0,0,0,119,0,0,0,0,2022-10-19T19:15:00Z,0,0,0,0,0,12,0,31380,0,0,2,0,0,-548,213,761,40,FALSE,0,Man Utd
Luka Milivojevic,MID,Crystal Palace,0,0,0,0,0,0,158,0,0,0,0,115,0,0,0,0,2022-10-18T19:15:00Z,0,0,0,0,0,12,0,56653,0,1,2,0,0,1596,4305,2709,43,TRUE,0,Wolves
Wesley Fofana,DEF,Chelsea,0,0,0,0,0,0,272,0,0,0,0,113,0,0,0,0,2022-10-19T18:30:00Z,0,0,0,0,0,12,0,132789,0,0,0,0,0,-32029,193,32222,44,FALSE,0,Brentford
Gianluca Scamacca,FWD,West Ham,0,0,0,1,0,2.8,529,0,0,0,0,118,1,0,1,0,2022-10-19T18:30:00Z,90,0,0,0,0,12,0,210733,0,0,1,8,2,-10757,16710,27467,68,FALSE,0,Liverpool
