name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,-0.3,0,0,0,0,0,403,0,0,0,0,50,0,0,0,0,2022-08-30T18:45:00Z,0,0,0,0,0,5,0,4990,0,1,2,0,0,-543,87,630,53,TRUE,0,Chelsea
Junior Stanislas,MID,Bournemouth,0,0,0,0,0,0,58,0,0,0,0,42,0,0,0,0,2022-08-31T18:30:00Z,0,0,0,0,0,5,0,4111,0,0,0,0,0,-1263,50,1313,48,TRUE,0,Wolves
Armando Broja,FWD,Chelsea,1.1,0,0,1,0,0,150,0,0,0,0,50,0,0,2.7,6.4,2022-08-30T18:45:00Z,24,0,0,0,0,5,0,67374,0,1,2,21,1,-9964,1964,11928,54,FALSE,0,Southampton
Fabian Schär,DEF,Newcastle,3.2,0,0,0,0,0,366,0,0,0,0,48,0,0,0,0,2022-08-31T19:00:00Z,0,0,0,0,0,5,0,767795,0,1,2,0,0,-62447,32478,94925,47,FALSE,0,Liverpool
Jonny Evans,DEF,Leicester,0.5,0,0,16,0,0.6,249,0,0,0,0,46,1,0,2.7,26.4,2022-09-01T19:00:00Z,90,0,0,0,0,5,0,28039,0,1,0,0,2,-1791,789,2580,44,TRUE,0,Man Utd
Brennan Johnson,FWD,Nott'm Forest,1.3,0,0,1,0,0.6,394,0,0,0,0,49,4,0,0,0,2022-08-31T18:30:00Z,57,0,0,0,0,5,0,155100,0,0,6,1,1,-11517,15162,26679,59,FALSE,0,Man City
Cheick Doucouré,MID,Crystal Palace,2.8,1,2,28,0,25.2,514,0,0,0,0,43,1,0,6.4,38.8,2022-08-30T18:30:00Z,90,0,0,0,0,5,0,12986,0,1,1,0,6,-536,1058,1594,50,TRUE,1,Brentford
Oliver Hammond,MID,Nott'm Forest,-1.5,0,0,0,0,0,553,0,0,0,0,49,0,0,0,0,2022-08-31T18:30:00Z,0,0,0,0,0,5,0,3866,0,0,6,0,0,-231,172,403,45,FALSE,0,Man City
Luke Cundle,MID,Wolves,0.5,0,0,0,0,0,485,0,0,0,0,42,0,0,0,0,2022-08-31T18:30:00Z,0,0,0,0,0,5,0,46646,0,0,0,0,0,3019,9346,6327,44,FALSE,0,Bournemouth
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,43,0,0,0,0,2022-08-30T18:30:00Z,0,0,0,0,0,5,0,30219,0,1,1,0,0,-1406,1167,2573,40,FALSE,0,Crystal Palace
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0,451,0,0,0,0,47,0,0,0,0,2022-08-31T18:45:00Z,0,0,0,0,0,5,0,33072,0,1,1,0,0,-982,498,1480,40,FALSE,0,West Ham
Luka Milivojevic,MID,Crystal Palace,0.8,0,0,6,0,1.4,158,0,0,0,0,43,1,0,0.5,4,2022-08-30T18:30:00Z,14,0,0,0,0,5,0,54962,0,1,1,0,1,-5190,1872,7062,45,TRUE,0,Brentford
Wesley Fofana,DEF,Leicester,0.5,0,0,0,0,0,272,0,0,0,0,46,0,0,0,0,2022-09-01T19:00:00Z,0,0,0,0,0,5,0,149540,0,1,0,0,0,5690,20879,15189,44,TRUE,0,Man Utd
Gianluca Scamacca,FWD,West Ham,0.5,0,0,0,0,0,529,0,0,0,0,47,0,0,0,0,2022-08-31T18:45:00Z,0,0,0,0,0,5,0,65900,0,1,1,0,0,-10551,2736,13287,69,TRUE,0,Spurs
Alisson,GK,Liverpool,3.4,0,0,13,0,0,281,0,0,0,0,48,1,0,0.9,8.8,2022-08-31T19:00:00Z,90,0,0,0,0,5,1,1568930,0,1,2,0,2,-41734,38509,80243,55,TRUE,0,Newcastle
Che Adams,FWD,Southampton,3.1,0,0,6,0,39.2,411,0,0,0,0,50,1,0,6.4,12.8,2022-08-30T18:45:00Z,90,0,0,0,0,5,0,100704,0,1,2,12,2,-44,20653,20697,64,TRUE,0,Chelsea
Sam Greenwood,FWD,Leeds,-0.1,0,0,0,0,0,237,0,0,0,0,45,0,0,0,0,2022-08-30T19:00:00Z,0,0,0,0,0,5,0,1736484,0,1,1,0,0,-132797,51910,184707,45,TRUE,0,Everton
Nathaniel Chalobah,MID,Fulham,-0.1,0,0,3,0,0,203,0,0,0,0,44,0,0,0.2,2,2022-08-30T18:30:00Z,1,0,0,0,0,5,0,13366,0,1,2,0,1,-292,1042,1334,45,TRUE,0,Brighton
Nathaniel Phillips,DEF,Liverpool,1.4,0,0,0,0,0,501,0,0,0,0,48,0,0,0,0,2022-08-31T19:00:00Z,0,0,0,0,0,5,0,45851,0,1,2,0,0,-3787,3164,6951,40,TRUE,0,Newcastle
Loïc Mbe Soh,DEF,Nott'm Forest,-1.5,0,0,0,0,0,393,0,0,0,0,49,0,0,0,0,2022-08-31T18:30:00Z,0,0,0,0,0,5,0,3720,0,0,6,0,0,-247,52,299,44,FALSE,0,Man City
Jason Steele,GK,Brighton,0.5,0,0,0,0,0,102,0,0,0,0,44,0,0,0,0,2022-08-30T18:30:00Z,0,0,0,0,0,5,0,86227,0,1,2,0,0,-1234,2576,3810,40,FALSE,0,Fulham
Tosin Adarabioyo,DEF,Fulham,1.7,0,0,10,0,10.6,209,0,0,0,0,44,1,0,2.4,13.6,2022-08-30T18:30:00Z,90,0,0,0,0,5,0,9532,0,1,2,0,2,312,1021,709,45,TRUE,0,Brighton
Kalvin Phillips,MID,Man City,1.3,0,0,0,0,0,325,0,0,0,0,49,0,0,0,0,2022-08-31T18:30:00Z,0,0,0,0,0,5,0,21130,0,0,6,0,0,-3880,114,3994,49,TRUE,0,Nott'm Forest
Cafú,MID,Nott'm Forest,-1.3,0,0,0,0,0,383,0,0,0,0,49,0,0,0,0,2022-08-31T18:30:00Z,0,0,0,0,0,5,0,38799,0,0,6,0,0,-2308,3034,5342,44,FALSE,0,Man City
Marek Rodák,GK,Fulham,0.9,0,0,0,0,0,213,0,0,0,0,44,0,0,0,0,2022-08-30T18:30:00Z,0,0,0,0,0,5,0,20972,0,1,2,0,0,-1312,619,1931,45,TRUE,0,Brighton
Ryan Fraser,MID,Newcastle,-0.2,0,0,7,0,1,359,0,0,0,0,48,1,0,1.1,8.8,2022-08-31T19:00:00Z,63,0,0,0,0,5,0,7069,0,1,2,1,2,-912,202,1114,53,FALSE,0,Liverpool
Luke Thomas,DEF,Leicester,-0.1,0,0,13,0,2.1,270,0,0,0,0,46,1,0,1.6,13.8,2022-09-01T19:00:00Z,90,0,0,0,0,5,0,7683,0,1,0,0,2,-560,120,680,44,TRUE,0,Man Utd
Karl Darlow,GK,Newcastle,-1,0,0,0,0,0,353,0,0,0,0,48,0,0,0,0,2022-08-31T19:00:00Z,0,0,0,0,0,5,0,217412,0,1,2,0,0,-7975,1245,9220,40,FALSE,0,Liverpool
