name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0,0,0,0,0,0,403,0,0,0,0,89,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,3806,0,2,1,0,0,-563,0,563,53,TRUE,0,Everton
Junior Stanislas,MID,Bournemouth,-0.5,0,0,0,0,0,58,0,0,0,0,82,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,2885,0,0,0,0,0,-52,107,159,48,TRUE,0,Brentford
Armando Broja,FWD,Chelsea,1.5,0,0,3,0,0,150,0,0,0,0,83,0,0,0,0,2022-10-01T14:00:00Z,15,0,0,0,0,9,0,53060,0,2,1,0,1,-502,4453,4955,53,FALSE,0,Crystal Palace
Fabian Schär,DEF,Newcastle,4,0,0,25,1,14.3,366,0,0,0,0,84,0,0,3.1,12.8,2022-10-01T14:00:00Z,82,0,0,0,0,9,0,948358,0,4,1,4,6,-1198,66324,67522,47,FALSE,0,Fulham
Jonny Evans,DEF,Leicester,2.2,0,0,22,1,10.7,249,0,0,0,0,86,0,0,2.9,18.2,2022-10-03T19:00:00Z,90,0,0,0,0,9,0,27618,0,0,4,0,6,-484,1482,1966,44,TRUE,0,Nott'm Forest
Brennan Johnson,FWD,Nott'm Forest,1.5,0,0,5,0,13.4,394,0,0,0,0,86,4,0,4.9,11,2022-10-03T19:00:00Z,90,0,0,0,0,9,0,147873,0,0,4,25,2,-8956,13503,22459,59,FALSE,0,Leicester
Cheick Doucouré,MID,Crystal Palace,1.5,0,0,8,0,10.7,514,0,0,0,0,83,1,0,2.1,9.8,2022-10-01T14:00:00Z,83,0,0,0,0,9,0,17194,0,2,1,0,2,248,1520,1272,50,TRUE,0,Chelsea
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0,553,0,0,0,0,86,0,0,0,0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,4151,0,0,4,0,0,-75,205,280,44,FALSE,0,Leicester
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,90,0,0,0,0,2022-10-01T16:30:00Z,0,0,0,0,0,9,0,29744,0,0,2,0,0,-1893,0,1893,44,FALSE,0,West Ham
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,82,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,21068,0,0,0,0,0,-1626,0,1626,40,FALSE,0,Bournemouth
Brandon Austin,GK,Spurs,0,0,0,0,0,0,451,0,0,0,0,81,0,0,0,0,2022-10-01T11:30:00Z,0,0,0,0,0,9,0,32345,0,1,3,0,0,-273,584,857,40,FALSE,0,Arsenal
Luka Milivojevic,MID,Crystal Palace,-0.5,0,0,0,0,0,158,0,0,0,0,83,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,49046,0,2,1,0,0,-1670,1521,3191,44,TRUE,0,Chelsea
Wesley Fofana,DEF,Chelsea,2.5,0,0,16,0,2.2,272,0,0,0,0,83,1,0,1.6,13.4,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,261186,0,2,1,0,2,15675,36901,21226,44,FALSE,0,Crystal Palace
Gianluca Scamacca,FWD,West Ham,4,0,2,34,1,15.3,529,0,0,0,0,90,0,1,6.3,37.8,2022-10-01T16:30:00Z,65,0,0,0,0,9,0,41651,0,0,2,10,8,-552,2697,3249,67,TRUE,0,Wolves
Alisson,GK,Liverpool,3,0,0,15,0,0,281,0,0,0,0,87,3,0,2.7,27.4,2022-10-01T14:00:00Z,90,0,0,0,0,9,3,1541717,0,3,3,0,2,21490,67880,46390,54,TRUE,0,Brighton
Che Adams,FWD,Southampton,3.5,1,0,11,0,38.1,411,0,0,0,0,89,2,0,10.1,26.2,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,97332,0,2,1,37,5,-8206,7183,15389,64,TRUE,0,Everton
Sam Greenwood,FWD,Leeds,0,0,0,0,0,0,237,0,0,0,0,85,0,0,0,0,2022-10-02T15:30:00Z,0,0,0,0,0,9,0,1198158,0,0,0,0,0,-37803,72425,110228,43,TRUE,0,Aston Villa
Nathaniel Chalobah,MID,Fulham,-1,0,0,-5,0,0,203,0,0,0,0,84,4,0,0,0,2022-10-01T14:00:00Z,7,0,0,0,1,9,0,13074,0,4,1,0,-2,-360,545,905,44,TRUE,0,Newcastle
Nathaniel Phillips,DEF,Liverpool,1,0,0,0,0,0,501,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,46098,0,3,3,0,0,-505,1777,2282,40,TRUE,0,Brighton
Loïc Mbe Soh,DEF,Nott'm Forest,-0.5,0,0,0,0,0,393,0,0,0,0,86,0,0,0,0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,3667,0,0,4,0,0,-119,30,149,43,FALSE,0,Leicester
Jason Steele,GK,Brighton,-1,0,0,0,0,0,102,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,77020,0,3,3,0,0,-2572,1014,3586,40,FALSE,0,Liverpool
Tosin Adarabioyo,DEF,Fulham,3.5,0,0,8,0,0.2,209,0,0,0,0,84,4,0,0.8,8.2,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,17705,0,4,1,0,0,4637,6315,1678,45,TRUE,0,Newcastle
Kalvin Phillips,MID,Man City,0,0,0,0,0,0,325,0,0,0,0,88,0,0,0,0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,15940,0,3,6,0,0,-1290,132,1422,48,TRUE,0,Man Utd
Cafú,MID,Nott'm Forest,-0.5,0,0,0,0,0,383,0,0,0,0,86,0,0,0,0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,50644,0,0,4,0,0,12552,17927,5375,43,FALSE,0,Leicester
Marek Rodák,GK,Fulham,0,0,0,0,0,0,213,0,0,0,0,84,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,20596,0,4,1,0,0,-468,641,1109,44,TRUE,0,Newcastle
Ryan Fraser,MID,Newcastle,1.5,0,0,3,0,13,359,0,0,0,0,84,1,0,1.8,3.2,2022-10-01T14:00:00Z,24,0,0,0,0,9,0,10999,0,4,1,2,1,-301,1232,1533,53,FALSE,0,Fulham
Luke Thomas,DEF,Leicester,-0.5,0,0,0,0,0,270,0,0,0,0,86,0,0,0,0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,8537,0,0,4,0,0,-241,236,477,43,TRUE,0,Nott'm Forest
Karl Darlow,GK,Newcastle,0,0,0,0,0,0,353,0,0,0,0,84,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,176689,0,4,1,0,0,-14170,199,14369,40,FALSE,0,Fulham
Rodri,MID,Man City,2,0,0,0,0,0,315,0,0,0,0,88,0,0,0,0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,217899,0,3,6,0,0,-9578,8600,18178,58,TRUE,0,Man Utd
Cristiano Ronaldo,FWD,Man Utd,-0.5,0,0,0,0,0,326,0,0,0,0,88,0,0,0,0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,258572,0,3,6,0,0,-3697,6927,10624,102,FALSE,0,Man City
Fraser Forster,GK,Spurs,0,0,0,0,0,0,426,0,0,0,0,81,0,0,0,0,2022-10-01T11:30:00Z,0,0,0,0,0,9,0,435504,0,1,3,0,0,-9612,5760,15372,39,FALSE,0,Arsenal
Alex Oxlade-Chamberlain,MID,Liverpool,0,0,0,0,0,0,278,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,712,0,3,3,0,0,-17,17,34,49,TRUE,0,Brighton
Ethan Nwaneri,MID,Arsenal,0.5,0,0,0,0,0,630,0,0,0,0,81,0,0,0,0,2022-10-01T11:30:00Z,0,0,0,0,0,9,0,418,0,1,3,0,0,294,356,62,45,TRUE,0,Spurs
Jack Grealish,MID,Man City,7,0,0,15,0,34.4,305,0,0,0,0,88,1,0,8.5,10.8,2022-10-02T13:00:00Z,74,0,0,0,0,9,0,123440,0,3,6,40,2,4614,8095,3481,68,TRUE,0,Man Utd
James McAtee,MID,Man City,0,0,0,0,0,0,317,0,0,0,0,88,0,0,0,0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,480,0,3,6,0,0,-11,0,11,45,TRUE,0,Man Utd
Will Smallbone,MID,Southampton,0,0,0,0,0,0,415,0,0,0,0,89,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,1117,0,2,1,0,0,-41,0,41,45,TRUE,0,Everton
Chris Wood,FWD,Newcastle,0.4,0,0,0,0,0,354,0,0,0,0,84,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,59072,0,4,1,0,0,-5939,1396,7335,56,FALSE,0,Fulham
Darren Randolph,GK,West Ham,0,0,0,0,0,0,571,0,0,0,0,90,0,0,0,0,2022-10-01T16:30:00Z,0,0,0,0,0,9,0,16194,0,0,2,0,0,35,496,461,40,TRUE,0,Wolves
Leander Dendoncker,MID,Aston Villa,0.5,0,0,0,0,0,479,0,0,0,0,85,0,0,0,0,2022-10-02T15:30:00Z,0,0,0,0,0,9,0,9170,0,0,0,0,0,-330,258,588,48,FALSE,0,Leeds
Allan,MID,Everton,0,0,0,0,0,0,183,0,0,0,0,89,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,9192,0,2,1,0,0,-640,243,883,48,FALSE,0,Southampton
Ibrahima Konaté,DEF,Liverpool,0.5,0,0,0,0,0,290,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,19975,0,3,3,0,0,-445,355,800,48,TRUE,0,Brighton
Aleksandar Mitrović,FWD,Fulham,1,0,0,0,0,0.2,210,0,0,0,0,84,2,0,0,0,2022-10-01T14:00:00Z,36,0,0,0,0,9,0,3413332,0,4,1,0,0,214220,382406,168186,69,TRUE,1,Newcastle
Christian Eriksen,MID,Man Utd,3.5,1,0,22,0,22.8,519,0,0,0,0,88,6,0,7.3,33.2,2022-10-02T13:00:00Z,90,0,0,0,0,9,0,355400,0,3,6,17,5,30170,47476,17306,63,FALSE,0,Man City
Joe Willock,MID,Newcastle,6,2,2,33,0,44.8,373,0,0,0,0,84,1,0,17.9,48.4,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,50442,0,4,1,86,10,-1878,4084,5962,49,FALSE,0,Fulham
Yerson Mosquera Valdelamar,DEF,Wolves,0,0,0,0,0,0,494,0,0,0,0,90,0,0,0,0,2022-10-01T16:30:00Z,0,0,0,0,0,9,0,118561,0,0,2,0,0,8845,14503,5658,39,FALSE,0,West Ham
Roméo Lavia,MID,Southampton,0,0,0,0,0,0,321,0,0,0,0,89,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,37432,0,2,1,0,0,-5654,482,6136,45,TRUE,0,Everton
Kristoffer Ajer,DEF,Brentford,4,0,0,25,1,3.3,84,0,0,0,0,82,0,0,1.7,4.2,2022-10-01T14:00:00Z,60,0,0,0,0,9,0,5323,0,0,0,9,6,1106,1564,458,45,FALSE,0,Bournemouth
Emmanuel Dennis,FWD,Nott'm Forest,0.5,0,0,4,0,14.7,585,0,0,0,0,86,1,0,2.3,2.4,2022-10-03T19:00:00Z,28,0,0,0,0,9,0,11023,0,0,4,6,1,-2239,515,2754,58,FALSE,0,Leicester
Will Hughes,MID,Crystal Palace,0.5,0,0,2,0,0.2,163,0,0,0,0,83,1,0,0,0.2,2022-10-01T14:00:00Z,6,0,0,0,0,9,0,3156,0,2,1,0,1,-28,97,125,48,TRUE,0,Chelsea
Joe Ayodele-Aribo,MID,Southampton,5,0,2,31,0,12.5,512,0,0,0,0,89,2,1,9.8,50,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,49368,0,2,1,35,9,-5803,1030,6833,54,TRUE,0,Everton
Orel Mangala,MID,Nott'm Forest,0,0,0,3,0,0.9,536,0,0,0,0,86,1,0,0.3,2,2022-10-03T19:00:00Z,21,0,0,0,0,9,0,2324,0,0,4,0,1,-96,71,167,49,FALSE,0,Leicester
Luke Plange,FWD,Crystal Palace,0,0,0,0,0,0,496,0,0,0,0,83,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,44192,0,2,1,0,0,-5891,0,5891,45,TRUE,0,Chelsea
Cristian Romero,DEF,Spurs,1,0,0,8,0,0.4,443,0,0,0,0,81,3,0,1.7,15,2022-10-01T11:30:00Z,90,0,0,0,0,9,0,137981,0,1,3,2,1,-2272,6042,8314,49,FALSE,0,Arsenal
Jack Harrison,MID,Leeds,3,0,0,3,1,0.7,233,0,0,0,0,85,0,0,0.1,0,2022-10-02T15:30:00Z,78,0,0,0,0,9,0,485857,0,0,0,2,3,-20459,43512,63971,62,TRUE,0,Aston Villa
Maxwel Cornet,MID,West Ham,1,0,0,2,0,0.6,575,0,0,0,0,90,0,0,0.3,0,2022-10-01T16:30:00Z,33,0,0,0,0,9,0,12722,0,0,2,4,1,93,2087,1994,59,TRUE,0,Wolves
Luis Sinisterra,MID,Leeds,-2,0,0,-1,0,1.5,508,0,0,0,0,85,0,0,0.8,0.6,2022-10-02T15:30:00Z,47,0,0,0,1,9,0,112294,0,0,0,6,-2,34993,46647,11654,65,TRUE,0,Aston Villa
Nathaniel Clyne,DEF,Crystal Palace,0.5,0,0,3,0,0.4,157,0,0,0,0,83,1,0,0,0,2022-10-01T14:00:00Z,43,0,0,0,0,9,0,18415,0,2,1,0,1,-255,580,835,45,TRUE,0,Chelsea
Stuart Armstrong,MID,Southampton,1,0,0,12,0,32.8,405,0,0,0,0,89,2,0,8.7,17.6,2022-10-01T14:00:00Z,88,0,0,0,0,9,0,10602,0,2,1,37,1,-653,619,1272,49,TRUE,1,Everton
Oriol Romeu,MID,Southampton,0,0,0,0,0,0,402,0,0,0,0,89,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,4460,0,2,1,0,0,-420,0,420,48,TRUE,0,Everton
Tyler Roberts,MID,Leeds,0,0,0,0,0,0,229,0,0,0,0,85,0,0,0,0,2022-10-02T15:30:00Z,0,0,0,0,0,9,0,68,0,0,0,0,0,-2,0,2,50,TRUE,0,Aston Villa
Lamare Bogarde,DEF,Aston Villa,1.2,0,0,0,0,0,638,0,0,0,0,85,0,0,0,0,2022-10-02T15:30:00Z,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,40,FALSE,0,Leeds
Harrison Ashby,DEF,West Ham,0,0,0,0,0,0,555,0,0,0,0,90,0,0,0,0,2022-10-01T16:30:00Z,0,0,0,0,0,9,0,34880,0,0,2,0,0,-453,870,1323,40,TRUE,0,Wolves
Lewis Brunt,DEF,Leicester,0.5,0,0,0,0,0,273,0,0,0,0,86,0,0,0,0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,33167,0,0,4,0,0,1636,2977,1341,39,TRUE,0,Nott'm Forest
Matt Ritchie,DEF,Newcastle,0,0,0,0,0,0,350,0,0,0,0,84,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,7822,0,4,1,0,0,-186,215,401,43,FALSE,0,Fulham
Jannik Vestergaard,DEF,Leicester,0.5,0,0,0,0,0,253,0,0,0,0,86,0,0,0,0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,737999,0,0,4,0,0,2196,39049,36853,39,TRUE,0,Nott'm Forest
Enock Mwepu,MID,Brighton,0,0,0,0,0,0,118,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,9677,0,3,3,0,0,-1136,337,1473,53,FALSE,0,Liverpool
Trevoh Chalobah,DEF,Chelsea,0.5,0,0,0,0,0,141,0,0,0,0,83,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,33244,0,2,1,0,0,-595,843,1438,47,FALSE,0,Crystal Palace
Chris Richards,DEF,Crystal Palace,-0.5,0,0,0,0,0,530,0,0,0,0,83,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,6657,0,2,1,0,0,-124,99,223,44,TRUE,0,Chelsea
Diogo Jota,FWD,Liverpool,2,0,0,2,0,0.6,288,0,0,0,0,87,1,0,0.5,2.2,2022-10-01T14:00:00Z,15,0,0,0,0,9,0,43811,0,3,3,2,1,6864,9365,2501,89,TRUE,0,Brighton
Martin Dubravka,GK,Man Utd,-0.8,0,0,0,0,0,355,0,0,0,0,88,0,0,0,0,2022-10-02T13:00:00Z,0,0,0,0,0,9,0,58124,0,3,6,0,0,-4063,392,4455,43,FALSE,0,Man City
Rodrigo,MID,Leeds,2,0,0,1,1,6.1,225,0,0,0,0,85,0,0,4.1,4.2,2022-10-02T15:30:00Z,67,0,0,0,0,9,0,624237,0,0,0,31,2,4138,91235,87097,63,TRUE,1,Aston Villa
Chiquinho,MID,Wolves,0,0,0,0,0,0,490,0,0,0,0,90,0,0,0,0,2022-10-01T16:30:00Z,0,0,0,0,0,9,0,360,0,0,2,0,0,-33,34,67,50,FALSE,0,West Ham
Mohammed Salisu,DEF,Southampton,1,0,0,0,0,0,420,0,0,0,0,89,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,19352,0,2,1,0,0,-5,1451,1456,44,TRUE,0,Everton
Fred,MID,Man Utd,1.5,1,0,14,0,20.8,331,0,0,0,0,88,1,0,4.7,9.6,2022-10-02T13:00:00Z,20,0,0,0,0,9,0,46149,0,3,6,17,4,-1365,889,2254,52,FALSE,0,Man City
Jakub Moder,MID,Brighton,0,0,0,0,0,0,117,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,1961,0,3,3,0,0,-78,40,118,44,FALSE,0,Liverpool
Lucas Paquetá,MID,West Ham,2.5,0,0,7,1,3,603,0,0,0,0,90,0,0,1.2,7.8,2022-10-01T16:30:00Z,73,0,0,0,0,9,0,140315,0,0,2,1,3,6371,29960,23589,60,TRUE,0,Wolves
Jean-Philippe Mateta,FWD,Crystal Palace,0.5,0,0,2,0,0.1,168,0,0,0,0,83,1,0,0.5,1,2022-10-01T14:00:00Z,6,0,0,0,0,9,0,45529,0,2,1,4,1,-1029,3577,4606,53,TRUE,0,Chelsea
Salomón Rondón,FWD,Everton,1,0,0,0,0,0,177,0,0,0,0,89,0,0,0.2,1,2022-10-01T14:00:00Z,1,0,0,0,0,9,0,52413,0,2,1,1,1,20,4823,4803,50,FALSE,0,Southampton
Liam Cooper,DEF,Leeds,6,0,0,23,1,0.2,221,0,0,0,0,85,0,0,2.1,17,2022-10-02T15:30:00Z,90,0,0,0,0,9,0,3814,0,0,0,4,6,17,171,154,44,TRUE,0,Aston Villa
Alexander Isak,FWD,Newcastle,1.1,0,0,0,0,0,594,0,0,0,0,84,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,504830,0,4,1,0,0,-247411,127400,374811,70,FALSE,0,Fulham
Erling Haaland,FWD,Man City,15.5,2,3,102,0,45.5,318,0,0,0,0,88,3,3,30.5,135.2,2022-10-02T13:00:00Z,90,0,0,0,0,9,0,8548463,0,3,6,124,23,94190,126753,32563,121,TRUE,0,Man Utd
Lewis Cook,MID,Bournemouth,2,0,0,10,1,2.1,67,0,0,0,0,82,0,0,0.7,5.2,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,8649,0,0,0,0,3,706,1539,833,49,TRUE,0,Brentford
Remi Matthews,GK,Crystal Palace,0,0,0,0,0,0,495,0,0,0,0,83,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,2924,0,2,1,0,0,-176,0,176,40,TRUE,0,Chelsea
Phil Foden,MID,Man City,14.5,0,2,64,0,6.9,314,0,0,0,0,88,1,3,19.6,102.6,2022-10-02T13:00:00Z,74,0,0,0,0,9,0,798125,0,3,6,86,19,-14020,56920,70940,80,TRUE,0,Man Utd
Juan Larios,DEF,Southampton,0.5,0,0,4,0,4.9,622,0,0,0,0,89,2,0,1.7,10.4,2022-10-01T14:00:00Z,59,0,0,0,0,9,0,5262,0,2,1,2,0,1171,1719,548,40,TRUE,0,Everton
Calvin Ramsay,DEF,Liverpool,0,0,0,0,0,0,298,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,16520,0,3,3,0,0,-153,777,930,39,TRUE,0,Brighton
Steve Cook,DEF,Nott'm Forest,-1,0,0,12,0,0.3,379,0,0,0,0,86,4,0,2.6,19.2,2022-10-03T19:00:00Z,90,0,0,0,0,9,0,13149,0,0,4,6,-1,-770,251,1021,44,FALSE,1,Leicester
Ryan Bertrand,DEF,Leicester,0,0,0,0,0,0,250,0,0,0,0,86,0,0,0,0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,3076,0,0,4,0,0,-283,87,370,40,TRUE,0,Nott'm Forest
Sékou Mara,FWD,Southampton,1,0,0,6,0,10.6,528,0,0,0,0,89,2,0,3.6,0.6,2022-10-01T14:00:00Z,59,0,0,0,0,9,0,9932,0,2,1,25,1,-238,766,1004,54,TRUE,0,Everton
Scott McTominay,MID,Man Utd,0,0,0,10,0,2,338,0,0,0,0,88,4,0,1.8,16.2,2022-10-02T13:00:00Z,58,0,0,0,0,9,0,25869,0,3,6,0,1,496,2257,1761,49,FALSE,0,Man City
Xande Nascimento da Costa Silva,MID,Nott'm Forest,0,0,0,0,0,0,390,0,0,0,0,86,0,0,0,0,2022-10-03T19:00:00Z,0,0,0,0,0,9,0,524,0,0,4,0,0,-23,0,23,50,FALSE,0,Leicester
Dean Henderson,GK,Nott'm Forest,1,0,0,16,0,0,398,0,0,0,0,86,4,0,2.9,29.2,2022-10-03T19:00:00Z,90,0,0,0,0,9,4,1425648,0,0,4,0,1,-10747,59757,70504,47,FALSE,0,Leicester
Jack Stacey,DEF,Bournemouth,0,0,0,0,0,0,65,0,0,0,0,82,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,4652,0,0,0,0,0,-53,149,202,43,TRUE,0,Brentford
Mason Holgate,DEF,Everton,0,0,0,0,0,0,192,0,0,0,0,89,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,7906,0,2,1,0,0,-674,26,700,44,FALSE,0,Southampton
Steven Alzate,MID,Brighton,-1,0,0,0,0,0,115,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,16427,0,3,3,0,0,-521,417,938,44,FALSE,0,Liverpool
Mateusz Klich,MID,Leeds,1,0,0,0,0,0,223,0,0,0,0,85,0,0,1.5,0,2022-10-02T15:30:00Z,11,0,0,0,0,9,0,7583,0,0,0,18,1,-277,232,509,48,TRUE,0,Aston Villa
Armel Bella-Kotchap,DEF,Southampton,1.5,0,0,10,0,0.3,423,0,0,0,0,89,2,0,2.3,17.4,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,29292,0,2,1,5,1,699,3814,3115,45,TRUE,0,Everton
Ainsley Maitland-Niles,MID,Southampton,0.5,0,0,1,0,0.9,21,0,0,0,0,89,2,0,0.6,5,2022-10-01T14:00:00Z,66,0,0,0,0,9,0,5524,0,2,1,0,1,-234,191,425,48,TRUE,1,Everton
James Milner,MID,Liverpool,2,0,0,2,0,1.2,274,0,0,0,0,87,1,0,0.1,0,2022-10-01T14:00:00Z,31,0,0,0,0,9,0,112993,0,3,3,0,1,-5282,3475,8757,45,TRUE,0,Brighton
Keane Lewis-Potter,MID,Brentford,0,0,0,0,0,0,515,0,0,0,0,82,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,6884,0,0,0,0,0,-1115,116,1231,53,FALSE,0,Bournemouth
Kevin De Bruyne,MID,Man City,10,2,0,33,0,31.4,301,0,0,0,0,88,1,0,10.2,41.6,2022-10-02T13:00:00Z,74,0,0,0,0,9,0,3387273,0,3,6,29,8,45430,243917,198487,123,TRUE,0,Man Utd
Sepp van den Berg,DEF,Liverpool,0,0,0,0,0,0,500,0,0,0,0,87,0,0,0,0,2022-10-01T14:00:00Z,0,0,0,0,0,9,0,20443,0,3,3,0,0,-1117,0,1117,40,TRUE,0,Brighton
Joe Gelhardt,FWD,Leeds,0,0,0,0,0,0,242,0,0,0,0,85,0,0,0,0,2022-10-02T15:30:00Z,0,0,0,0,0,9,0,29612,0,0,0,0,0,-1138,1524,2662,52,TRUE,0,Aston Villa
Diego Carlos,DEF,Aston Villa,0,0,0,0,0,0,50,0,0,0,0,85,0,0,0,0,2022-10-02T15:30:00Z,0,0,0,0,0,9,0,25447,0,0,0,0,0,-1133,64,1197,48,FALSE,0,Leeds
Lucas Moura,MID,Spurs,0,0,0,0,0,0,431,0,0,0,0,81,0,0,0,0,2022-10-01T11:30:00Z,0,0,0,0,0,9,0,15109,0,1,3,0,0,-538,118,656,58,FALSE,0,Arsenal
Ben Mee,DEF,Brentford,4.5,0,1,29,1,0.7,526,0,0,0,0,82,0,0,5.2,31.8,2022-10-01T14:00:00Z,90,0,0,0,0,9,0,309773,0,0,0,19,7,5676,29128,23452,45,FALSE,0,Bournemouth
Marquinhos,MID,Arsenal,0.3,0,0,0,0,0,27,0,0,0,0,81,0,0,0,0,2022-10-01T11:30:00Z,0,0,0,0,0,9,0,8465,0,1,3,0,0,-118,419,537,47,TRUE,0,Spurs
Daniel James,MID,Fulham,1.5,0,0,9,0,0.8,231,0,0,0,0,84,4,0,1.2,10.8,2022-10-01T14:00:00Z,69,0,0,0,0,9,0,17077,0,4,1,0,2,-1245,1660,2905,60,TRUE,0,Newcastle
João Cancelo,DEF,Man City,6,0,0,11,0,2.7,306,0,0,0,0,88,3,0,1.5,12,2022-10-02T13:00:00Z,90,0,0,0,0,9,0,5427739,0,3,6,0,1,83265,172878,89613,72,TRUE,0,Man Utd
Bruno Fernandes,MID,Man Utd,3,0,0,3,0,2.9,333,0,0,0,0,88,6,0,2.6,4.2,2022-10-02T13:00:00Z,90,0,0,0,0,9,0,243991,0,3,6,19,1,-4740,10452,15192,98,FALSE,1,Man City
