name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0,0,0,0,0,0,403,0,0,0,0,127,0,0,0,0,2022-10-23T13:00:00Z,0,0,0,0,0,13,0,3230,0,1,1,0,0,-69,0,69,53,TRUE,0,Arsenal
Junior Stanislas,MID,Bournemouth,-0.3,0,0,0,0,0,58,0,0,0,0,129,0,0,0,0,2022-10-24T19:00:00Z,0,0,0,0,0,13,0,2574,0,0,2,0,0,-4,61,65,48,FALSE,0,West Ham
Armando Broja,FWD,Chelsea,3.1,1,0,10,0,0,150,0,0,0,0,122,1,0,0.2,0,2022-10-22T16:30:00Z,11,0,0,0,0,13,0,56233,0,1,1,2,4,43,3535,3492,53,TRUE,0,Man Utd
Fabian Schär,DEF,Newcastle,4.1,0,0,12,0,1.3,366,0,0,0,0,128,1,0,6.6,35,2022-10-23T15:30:00Z,90,0,0,0,0,13,0,1260723,0,2,1,30,2,15311,78937,63626,49,FALSE,0,Spurs
Jonny Evans,DEF,Leicester,0.7,0,0,0,0,0,249,0,0,0,0,130,0,0,0,0,2022-10-23T13:00:00Z,0,0,0,0,0,13,0,23470,0,4,0,0,0,-2142,18,2160,44,FALSE,0,Wolves
Brennan Johnson,FWD,Nott'm Forest,-0.1,0,0,-2,0,0,394,0,0,0,0,126,0,0,2,3,2022-10-22T11:30:00Z,26,0,0,0,0,13,0,106585,0,0,1,17,1,-11982,1766,13748,57,TRUE,0,Liverpool
Cheick Doucouré,MID,Crystal Palace,0,0,0,0,0,0,514,0,0,0,0,123,0,0,0,0,2022-10-22T14:00:00Z,0,0,0,0,0,13,0,14842,0,0,3,0,0,-1219,272,1491,50,FALSE,0,Everton
Oliver Hammond,MID,Nott'm Forest,-1.5,0,0,0,0,0,553,0,0,0,0,126,0,0,0,0,2022-10-22T11:30:00Z,0,0,0,0,0,13,0,4114,0,0,1,0,0,59,229,170,44,TRUE,0,Liverpool
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,130,0,0,0,0,2022-10-23T13:00:00Z,0,0,0,0,0,13,0,25311,0,4,0,0,0,-651,0,651,44,TRUE,0,Leicester
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,121,0,0,0,0,2022-10-23T13:00:00Z,0,0,0,0,0,13,0,18077,0,0,4,0,0,-446,0,446,40,FALSE,0,Aston Villa
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0,451,0,0,0,0,128,0,0,0,0,2022-10-23T15:30:00Z,0,0,0,0,0,13,0,31371,0,2,1,0,0,-378,213,591,40,TRUE,0,Newcastle
Luka Milivojevic,MID,Crystal Palace,0.8,0,0,9,0,2.1,158,0,0,0,0,123,1,0,1.3,9.8,2022-10-22T14:00:00Z,61,0,0,0,0,13,0,52106,0,0,3,1,2,1504,4392,2888,43,FALSE,0,Everton
Wesley Fofana,DEF,Chelsea,0,0,0,0,0,0,272,0,0,0,0,122,0,0,0,0,2022-10-22T16:30:00Z,0,0,0,0,0,13,0,130942,0,1,1,0,0,-14941,213,15154,43,TRUE,0,Man Utd
