name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0,0,0,0,0,0,403,0,0,0,0,135,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,3154,0,0,1,0,0,-79,0,79,53,FALSE,0,Crystal Palace
Junior Stanislas,MID,Bournemouth,-0.8,0,0,0,0,0,58,0,0,0,0,132,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,2563,0,3,2,0,0,-32,62,94,48,TRUE,0,Spurs
Armando Broja,FWD,Chelsea,2.8,0,0,3,0,0.6,150,0,0,0,0,134,1,0,0.3,2,2022-10-29T14:00:00Z,11,0,0,0,0,14,0,60398,0,1,4,0,1,3160,7346,4186,53,FALSE,0,Brighton
Fabian Schär,DEF,Newcastle,4.8,0,0,22,1,10.7,366,0,0,0,0,140,0,0,2.3,11.8,2022-10-29T14:00:00Z,82,0,0,0,0,14,0,1344532,0,0,4,0,6,75346,127035,51689,49,TRUE,0,Aston Villa
Jonny Evans,DEF,Leicester,0.1,0,0,0,0,0,249,0,0,0,0,137,0,0,0,0,2022-10-29T11:30:00Z,0,0,0,0,0,14,0,21994,0,1,0,0,0,-1492,37,1529,44,TRUE,0,Man City
Brennan Johnson,FWD,Nott'm Forest,0.3,0,0,1,0,0.1,394,0,0,0,0,131,2,0,0,0,2022-10-30T14:00:00Z,34,0,0,0,0,14,0,96224,0,0,5,2,1,-10557,885,11442,57,FALSE,0,Arsenal
Cheick Doucouré,MID,Crystal Palace,0.7,0,0,0,0,0,514,0,0,0,0,135,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,13875,0,0,1,0,0,-1044,259,1303,50,TRUE,0,Southampton
Oliver Hammond,MID,Nott'm Forest,-1,0,0,0,0,0,553,0,0,0,0,131,0,0,0,0,2022-10-30T14:00:00Z,0,0,0,0,0,14,0,3918,0,0,5,0,0,-233,68,301,44,FALSE,0,Arsenal
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,133,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,24480,0,1,1,0,0,-836,0,836,44,FALSE,0,Brentford
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,133,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,17545,0,1,1,0,0,-524,0,524,40,TRUE,0,Wolves
Brandon Austin,GK,Spurs,1,0,0,0,0,0,451,0,0,0,0,132,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,31089,0,3,2,0,0,-419,221,640,40,FALSE,0,Bournemouth
Luka Milivojevic,MID,Crystal Palace,1.2,0,0,14,1,14.7,158,0,0,0,0,135,0,0,4.1,16.4,2022-10-29T14:00:00Z,90,0,0,0,0,14,0,50132,0,0,1,10,3,-2063,2059,4122,43,TRUE,0,Southampton
Wesley Fofana,DEF,Chelsea,0,0,0,0,0,0,272,0,0,0,0,134,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,118267,0,1,4,0,0,-12766,222,12988,43,FALSE,0,Brighton
Gianluca Scamacca,FWD,West Ham,3.8,0,0,-3,0,23.2,529,0,0,0,0,139,1,0,5.4,1,2022-10-30T16:15:00Z,56,0,0,0,0,14,0,193572,0,0,1,30,0,-47203,10336,57539,67,FALSE,1,Man Utd
Alisson,GK,Liverpool,7.5,0,0,22,0,0,281,0,0,0,0,138,2,0,3,29.6,2022-10-29T18:45:00Z,90,0,0,0,0,14,4,1689804,0,2,1,0,2,46840,87385,40545,54,TRUE,0,Leeds
Che Adams,FWD,Southampton,3,0,0,-4,0,23.8,411,0,0,0,0,135,1,0,9.5,10.4,2022-10-29T14:00:00Z,90,0,0,0,0,14,0,94845,0,0,1,61,2,-3644,6453,10097,64,FALSE,0,Crystal Palace
Sam Greenwood,FWD,Leeds,-0.7,0,0,0,0,0,237,0,0,0,0,138,0,0,0,0,2022-10-29T18:45:00Z,0,0,0,0,0,14,0,1023651,0,2,1,0,0,-31313,27919,59232,42,FALSE,0,Liverpool
Nathaniel Chalobah,MID,Fulham,-0.3,0,0,0,0,0,203,0,0,0,0,136,0,0,0,0,2022-10-29T16:30:00Z,0,0,0,0,0,14,0,9959,0,0,0,0,0,-197,240,437,44,TRUE,0,Everton
Nathaniel Phillips,DEF,Liverpool,1,0,0,0,0,0,501,0,0,0,0,138,0,0,0,0,2022-10-29T18:45:00Z,0,0,0,0,0,14,0,44168,0,2,1,0,0,-857,747,1604,39,TRUE,0,Leeds
Loïc Mbe Soh,DEF,Nott'm Forest,-1,0,0,0,0,0,393,0,0,0,0,131,0,0,0,0,2022-10-30T14:00:00Z,0,0,0,0,0,14,0,3708,0,0,5,0,0,-73,39,112,42,FALSE,0,Arsenal
Jason Steele,GK,Brighton,-0.5,0,0,0,0,0,102,0,0,0,0,134,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,70734,0,1,4,0,0,-1606,589,2195,40,TRUE,0,Chelsea
Tosin Adarabioyo,DEF,Fulham,0.3,0,0,0,0,0,209,0,0,0,0,136,0,0,0,0,2022-10-29T16:30:00Z,0,0,0,0,0,14,0,17519,0,0,0,0,0,-1623,289,1912,45,TRUE,0,Everton
Kalvin Phillips,MID,Man City,0,0,0,0,0,0,325,0,0,0,0,137,0,0,0,0,2022-10-29T11:30:00Z,0,0,0,0,0,14,0,13311,0,1,0,0,0,-295,27,322,48,FALSE,0,Leicester
Cafú,MID,Nott'm Forest,-1,0,0,0,0,0,383,0,0,0,0,131,0,0,0,0,2022-10-30T14:00:00Z,0,0,0,0,0,14,0,52405,0,0,5,0,0,-4847,719,5566,43,FALSE,0,Arsenal
Marek Rodák,GK,Fulham,0,0,0,0,0,0,213,0,0,0,0,136,0,0,0,0,2022-10-29T16:30:00Z,0,0,0,0,0,14,0,19062,0,0,0,0,0,-323,224,547,44,TRUE,0,Everton
Ryan Fraser,MID,Newcastle,0.5,0,0,0,0,0,359,0,0,0,0,140,0,0,0,0,2022-10-29T14:00:00Z,0,0,0,0,0,14,0,8390,0,0,4,0,0,-451,224,675,52,TRUE,0,Aston Villa
Luke Thomas,DEF,Leicester,-0.8,0,0,0,0,0,270,0,0,0,0,137,0,0,0,0,2022-10-29T11:30:00Z,0,0,0,0,0,14,0,8674,0,1,0,0,0,-132,136,268,43,TRUE,0,Man City
