name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0,0,0,0,0,0,403,0,0,0,0,97,0,0,0,0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,3502,0,0,4,0,0,-312,0,312,53,FALSE,0,Man City
Junior Stanislas,MID,Bournemouth,-0.1,0,0,0,0,0,58,0,0,0,0,92,0,0,0,0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,2751,0,1,2,0,0,-159,90,249,48,TRUE,0,Leicester
Armando Broja,FWD,Chelsea,3.5,0,0,27,0,0.3,150,0,0,0,0,94,0,1,5.1,33.2,2022-10-08T14:00:00Z,18,0,0,0,0,10,0,50993,0,0,3,17,5,-2457,2715,5172,53,TRUE,0,Wolves
Fabian Schär,DEF,Newcastle,3.3,0,0,10,0,0.5,366,0,0,0,0,98,1,0,1.4,11.2,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,1081981,0,1,5,2,2,121324,161290,39966,48,TRUE,0,Brentford
Jonny Evans,DEF,Leicester,2.5,0,0,15,0,1.5,249,0,0,0,0,92,2,0,6.3,28.4,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,30791,0,1,2,33,1,2549,3862,1313,44,FALSE,0,Bournemouth
Brennan Johnson,FWD,Nott'm Forest,1.5,0,0,6,0,15.6,394,0,0,0,0,99,1,0,3,4.4,2022-10-10T19:00:00Z,90,0,0,0,0,10,0,138472,0,1,1,10,2,-9887,10753,20640,59,TRUE,0,Aston Villa
Cheick Doucouré,MID,Crystal Palace,1.5,0,0,6,0,11.4,514,0,0,0,0,95,1,0,2,8.8,2022-10-09T13:00:00Z,63,0,0,0,0,10,0,16996,0,1,2,0,1,-388,1124,1512,50,TRUE,1,Leeds
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0,553,0,0,0,0,99,0,0,0,0,2022-10-10T19:00:00Z,0,0,0,0,0,10,0,4089,0,1,1,0,0,-119,149,268,44,TRUE,0,Aston Villa
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,94,0,0,0,0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,28026,0,0,3,0,0,-1762,0,1762,44,FALSE,0,Chelsea
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,98,0,0,0,0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,19867,0,1,5,0,0,-1217,0,1217,40,FALSE,0,Newcastle
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0,451,0,0,0,0,93,0,0,0,0,2022-10-08T16:30:00Z,0,0,0,0,0,10,0,32234,0,1,0,0,0,-380,533,913,40,FALSE,0,Brighton
Luka Milivojevic,MID,Crystal Palace,0.5,0,0,1,0,0.1,158,0,0,0,0,95,0,0,0.1,1.2,2022-10-09T13:00:00Z,26,0,0,0,0,10,0,46864,0,1,2,0,1,-2362,1368,3730,44,TRUE,0,Leeds
Wesley Fofana,DEF,Chelsea,0,0,0,0,0,0,272,0,0,0,0,94,0,0,0,0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,225352,0,0,3,0,0,-35962,25584,61546,44,TRUE,0,Wolves
Gianluca Scamacca,FWD,West Ham,5.7,0,3,24,0,21.8,529,0,0,0,0,100,1,1,12.3,38.4,2022-10-09T13:00:00Z,79,0,0,0,0,10,0,130808,0,1,3,63,9,84891,90669,5778,67,TRUE,0,Fulham
Alisson,GK,Liverpool,2.5,0,0,21,0,0.1,281,0,0,0,0,91,3,0,3.6,36.2,2022-10-09T15:30:00Z,90,0,0,0,0,10,4,1438231,0,2,3,0,2,-105280,15811,121091,54,FALSE,0,Arsenal
Che Adams,FWD,Southampton,2,0,0,6,0,2.4,411,0,0,0,0,97,4,0,1.2,5.6,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,96204,0,0,4,4,2,-2397,12170,14567,64,FALSE,0,Man City
Sam Greenwood,FWD,Leeds,0,0,0,0,0,0,237,0,0,0,0,95,0,0,0,0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,1197760,0,1,2,0,0,-7898,80792,88690,43,FALSE,0,Crystal Palace
Nathaniel Chalobah,MID,Fulham,0,0,0,0,0,0,203,0,0,0,0,100,0,0,0,0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,11304,0,1,3,0,0,-1751,140,1891,44,FALSE,0,West Ham
Nathaniel Phillips,DEF,Liverpool,0.5,0,0,0,0,0,501,0,0,0,0,91,0,0,0,0,2022-10-09T15:30:00Z,0,0,0,0,0,10,0,46447,0,2,3,0,0,-480,1728,2208,40,FALSE,0,Arsenal
Loïc Mbe Soh,DEF,Nott'm Forest,-0.5,0,0,0,0,0,393,0,0,0,0,99,0,0,0,0,2022-10-10T19:00:00Z,0,0,0,0,0,10,0,3703,0,1,1,0,0,-56,55,111,43,TRUE,0,Aston Villa
Jason Steele,GK,Brighton,-0.5,0,0,0,0,0,102,0,0,0,0,93,0,0,0,0,2022-10-08T16:30:00Z,0,0,0,0,0,10,0,75494,0,1,0,0,0,-1865,792,2657,40,TRUE,0,Spurs
Tosin Adarabioyo,DEF,Fulham,2.7,0,0,20,0,0.8,209,0,0,0,0,100,3,0,2.8,27,2022-10-09T13:00:00Z,90,0,0,0,0,10,0,15677,0,1,3,0,1,-1995,1547,3542,45,FALSE,0,West Ham
Kalvin Phillips,MID,Man City,0,0,0,0,0,0,325,0,0,0,0,97,0,0,0,0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,14788,0,0,4,0,0,-1161,34,1195,48,TRUE,0,Southampton
