name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0.3,0,0,0,0,0,403,0,0,0,0,26,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,5926,0,2,1,0,0,-905,218,1123,54,FALSE,0,Leicester
Junior Stanislas,MID,Bournemouth,-0.3,0,0,0,0,0,58,0,0,0,0,21,0,0,0,0,2022-08-20T16:30:00Z,0,0,0,0,0,3,0,7382,0,3,0,0,0,-1351,677,2028,49,TRUE,0,Arsenal
Armando Broja,FWD,Chelsea,0,0,0,0,0,0,150,0,0,0,0,25,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,98204,0,0,3,0,0,-22501,5658,28159,54,FALSE,0,Leeds
Fabian Schär,DEF,Newcastle,5.7,0,0,9,0,0.2,366,0,0,0,0,28,3,0,2.5,24.4,2022-08-21T15:30:00Z,90,0,0,0,0,3,0,699172,0,3,3,0,0,203883,272486,68603,46,TRUE,1,Man City
Jonny Evans,DEF,Leicester,0.7,0,0,14,0,1.3,249,0,0,0,0,26,2,0,1.9,18,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,29845,0,2,1,0,1,-2081,1845,3926,45,TRUE,0,Southampton
Brennan Johnson,FWD,Nott'm Forest,3.5,0,3,32,0,10.8,394,0,0,0,0,23,1,1,7.6,38,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,143037,0,1,1,27,9,-21990,9523,31513,59,FALSE,0,Everton
Cheick Doucouré,MID,Crystal Palace,2,0,0,10,0,2.3,514,0,0,0,0,22,1,0,0.6,2.4,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,14204,0,1,3,1,2,670,2754,2084,50,TRUE,0,Aston Villa
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0,553,0,0,0,0,23,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,4254,0,1,1,0,0,-127,516,643,45,FALSE,0,Everton
Luke Cundle,MID,Wolves,-0.5,0,0,0,0,0,485,0,0,0,0,29,0,0,0,0,2022-08-20T11:30:00Z,0,0,0,0,0,3,0,36583,0,0,1,0,0,-3462,1767,5229,45,FALSE,0,Spurs
Fin Stevens,DEF,Brentford,0.5,0,0,0,0,0,540,0,0,0,0,24,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,28840,0,2,3,0,0,778,4165,3387,40,FALSE,0,Fulham
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0,451,0,0,0,0,29,0,0,0,0,2022-08-20T11:30:00Z,0,0,0,0,0,3,0,33249,0,0,1,0,0,-576,1308,1884,40,TRUE,0,Wolves
Luka Milivojevic,MID,Crystal Palace,1,0,0,2,0,0.1,158,0,0,0,0,22,0,0,0,0,2022-08-20T14:00:00Z,8,0,0,0,0,3,0,65415,0,1,3,0,1,-554,7684,8238,45,TRUE,0,Aston Villa
Wesley Fofana,DEF,Leicester,0,0,0,0,0,0,272,0,0,0,0,26,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,153875,0,2,1,0,0,-9753,13245,22998,45,TRUE,0,Southampton
Gianluca Scamacca,FWD,West Ham,1,0,0,4,0,10.5,529,0,0,0,0,30,1,0,1.5,2.4,2022-08-21T13:00:00Z,28,0,0,0,0,3,0,86332,0,2,0,2,1,-12751,10425,23176,70,TRUE,0,Brighton
Alisson,GK,Liverpool,1.8,0,0,19,0,0,281,0,0,0,0,27,2,0,2.4,23.8,2022-08-22T19:00:00Z,90,0,0,0,0,3,2,1591356,0,1,2,0,1,-125038,44231,169269,55,FALSE,0,Man Utd
Che Adams,FWD,Southampton,4.7,0,3,53,0,0.5,411,0,0,0,0,26,0,2,10.3,64,2022-08-20T14:00:00Z,31,0,0,0,0,3,0,48946,0,2,1,38,12,-7810,3102,10912,64,FALSE,0,Leicester
Sam Greenwood,FWD,Leeds,-0.3,0,0,3,0,0,237,0,0,0,0,25,0,0,0.4,4,2022-08-21T13:00:00Z,7,0,0,0,0,3,0,1941033,0,0,3,0,1,-88590,111397,199987,45,TRUE,0,Chelsea
Nathaniel Chalobah,MID,Fulham,-0.5,0,0,0,0,0,203,0,0,0,0,24,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,14144,0,2,3,0,0,1070,2915,1845,45,TRUE,0,Brentford
Nathaniel Phillips,DEF,Liverpool,1.2,0,0,0,0,0,501,0,0,0,0,27,0,0,0,0,2022-08-22T19:00:00Z,0,0,0,0,0,3,0,43288,0,1,2,0,0,11808,18654,6846,40,FALSE,0,Man Utd
Loïc Mbe Soh,DEF,Nott'm Forest,-0.5,0,0,0,0,0,393,0,0,0,0,23,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,4022,0,1,1,0,0,-387,177,564,44,FALSE,0,Everton
Jason Steele,GK,Brighton,0,0,0,0,0,0,102,0,0,0,0,30,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,85325,0,2,0,0,0,-795,3927,4722,40,FALSE,0,West Ham
Tosin Adarabioyo,DEF,Fulham,2.2,0,0,10,0,0.3,209,0,0,0,0,24,2,0,1.7,16.6,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,9071,0,2,3,0,1,475,1078,603,45,TRUE,0,Brentford
Kalvin Phillips,MID,Man City,1.3,0,0,0,0,0,325,0,0,0,0,28,0,0,0,0,2022-08-21T15:30:00Z,0,0,0,0,0,3,0,27255,0,3,3,0,0,-16496,611,17107,49,FALSE,0,Newcastle
Cafú,MID,Nott'm Forest,-0.2,0,0,0,0,0,383,0,0,0,0,23,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,40122,0,1,1,0,0,-3211,3610,6821,45,FALSE,0,Everton
Marek Rodák,GK,Fulham,1.8,0,0,0,0,0,213,0,0,0,0,24,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,24740,0,2,3,0,0,3471,5582,2111,45,TRUE,0,Brentford
Ryan Fraser,MID,Newcastle,-0.5,0,0,0,0,0,359,0,0,0,0,28,0,0,0,0,2022-08-21T15:30:00Z,0,0,0,0,0,3,0,10209,0,3,3,0,0,-4360,433,4793,54,TRUE,0,Man City
Luke Thomas,DEF,Leicester,0,0,0,0,0,0,270,0,0,0,0,26,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,8472,0,2,1,0,0,-1061,194,1255,44,TRUE,0,Southampton
Karl Darlow,GK,Newcastle,-1,0,0,0,0,0,353,0,0,0,0,28,0,0,0,0,2022-08-21T15:30:00Z,0,0,0,0,0,3,0,232009,0,3,3,0,0,-10800,3100,13900,40,TRUE,0,Man City
Rodri,MID,Man City,4.7,1,0,29,0,16.8,315,0,0,0,0,28,3,0,9.6,39.2,2022-08-21T15:30:00Z,90,0,0,0,0,3,0,248071,0,3,3,40,5,-22168,25803,47971,60,FALSE,0,Newcastle
Cristiano Ronaldo,FWD,Man Utd,0.8,0,0,1,0,0,326,0,0,0,0,27,0,0,0.2,0,2022-08-22T19:00:00Z,4,0,0,0,0,3,0,345362,0,1,2,3,1,-96904,16665,113569,104,TRUE,0,Liverpool
Fraser Forster,GK,Spurs,0.5,0,0,0,0,0,426,0,0,0,0,29,0,0,0,0,2022-08-20T11:30:00Z,0,0,0,0,0,3,0,521986,0,0,1,0,0,-21841,7552,29393,40,TRUE,0,Wolves
Alex Oxlade-Chamberlain,MID,Liverpool,0,0,0,0,0,0,278,0,0,0,0,27,0,0,0,0,2022-08-22T19:00:00Z,0,0,0,0,0,3,0,849,0,1,2,0,0,-162,30,192,50,FALSE,0,Man Utd
Jack Grealish,MID,Man City,2.3,0,0,0,0,0,305,0,0,0,0,28,0,0,0,0,2022-08-21T15:30:00Z,0,0,0,0,0,3,0,311221,0,3,3,0,0,-87148,20359,107507,70,FALSE,0,Newcastle
James McAtee,MID,Man City,0,0,0,0,0,0,317,0,0,0,0,28,0,0,0,0,2022-08-21T15:30:00Z,0,0,0,0,0,3,0,729,0,3,3,0,0,-171,0,171,45,FALSE,0,Newcastle
Will Smallbone,MID,Southampton,0,0,0,0,0,0,415,0,0,0,0,26,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,1609,0,2,1,0,0,-205,0,205,45,FALSE,0,Leicester
Chris Wood,FWD,Newcastle,0,0,0,4,0,0.8,354,0,0,0,0,28,0,0,0.3,2.6,2022-08-21T15:30:00Z,21,0,0,0,0,3,0,98208,0,3,3,0,1,-28401,4808,33209,59,TRUE,0,Man City
Darren Randolph,GK,West Ham,0,0,0,0,0,0,571,0,0,0,0,30,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,11553,0,2,0,0,0,1765,2814,1049,40,TRUE,0,Brighton
Leander Dendoncker,MID,Wolves,1.5,0,0,5,0,10.3,479,0,0,0,0,29,1,0,1.7,4.4,2022-08-20T11:30:00Z,32,0,0,0,0,3,0,15953,0,0,1,2,1,-472,2091,2563,50,FALSE,0,Spurs
Allan,MID,Everton,0.5,0,0,0,0,0,183,0,0,0,0,23,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,9746,0,1,1,0,0,-4297,436,4733,49,TRUE,0,Nott'm Forest
Ibrahima Konaté,DEF,Liverpool,0,0,0,0,0,0,290,0,0,0,0,27,0,0,0,0,2022-08-22T19:00:00Z,0,0,0,0,0,3,0,29352,0,1,2,0,0,-8906,668,9574,49,FALSE,0,Man Utd
Aleksandar Mitrović,FWD,Fulham,5.5,0,0,14,0,1.3,210,0,0,0,0,24,2,1,17.8,47.8,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,1545465,0,2,3,129,6,38357,293938,255581,66,TRUE,0,Brentford
Christian Eriksen,MID,Man Utd,1.5,0,0,9,0,1.2,519,0,0,0,0,27,1,0,1.7,5.2,2022-08-22T19:00:00Z,85,0,0,0,0,3,0,325424,0,1,2,11,2,-113910,14690,128600,64,TRUE,0,Liverpool
Joe Willock,MID,Newcastle,1.7,0,0,11,0,14.9,373,0,0,0,0,28,3,0,2.7,10.4,2022-08-21T15:30:00Z,69,0,0,0,0,3,0,52609,0,3,3,2,2,-4578,5951,10529,50,TRUE,0,Man City
Yerson Mosquera Valdelamar,DEF,Wolves,-0.5,0,0,0,0,0,494,0,0,0,0,29,0,0,0,0,2022-08-20T11:30:00Z,0,0,0,0,0,3,0,79135,0,0,1,0,0,-4552,3106,7658,40,FALSE,0,Spurs
Roméo Lavia,MID,Southampton,1.7,0,0,13,0,2.1,321,0,0,0,0,26,1,0,2.7,18,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,63296,0,2,1,7,1,22168,35983,13815,45,FALSE,1,Leicester
Kristoffer Ajer,DEF,Brentford,0,0,0,0,0,0,84,0,0,0,0,24,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,2170,0,2,3,0,0,-252,139,391,45,FALSE,0,Fulham
Emmanuel Dennis,FWD,Nott'm Forest,1.3,0,0,0,0,0,585,0,0,0,0,23,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,13744,0,1,1,0,0,10913,13758,2845,60,FALSE,0,Everton
Will Hughes,MID,Crystal Palace,1,0,0,2,0,1.7,163,0,0,0,0,22,0,0,4,8.4,2022-08-20T14:00:00Z,8,0,0,0,0,3,0,3268,0,1,3,30,1,-185,222,407,50,TRUE,0,Aston Villa
Joe Ayodele-Aribo,MID,Southampton,3.3,0,0,5,0,1.9,512,0,0,0,0,26,1,0,1.8,8,2022-08-20T14:00:00Z,87,0,0,0,0,3,0,75000,0,2,1,8,1,14442,20878,6436,55,FALSE,1,Leicester
Orel Mangala,MID,Nott'm Forest,1.2,0,0,12,0,12.1,536,0,0,0,0,23,0,0,3.1,11.6,2022-08-20T14:00:00Z,54,0,0,0,0,3,0,4491,0,1,1,7,1,373,955,582,50,FALSE,0,Everton
Luke Plange,FWD,Crystal Palace,0,0,0,0,0,0,496,0,0,0,0,22,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,126295,0,1,3,0,0,-7804,8529,16333,45,TRUE,0,Aston Villa
Cristian Romero,DEF,Spurs,0,0,0,0,0,0,443,0,0,0,0,29,0,0,0,0,2022-08-20T11:30:00Z,0,0,0,0,0,3,0,192238,0,0,1,0,0,-47988,17726,65714,50,TRUE,0,Wolves
Jack Harrison,MID,Leeds,7,1,3,43,1,15.8,233,0,0,0,0,25,0,1,13.5,67.4,2022-08-21T13:00:00Z,82,0,0,0,0,3,0,126900,0,0,3,52,14,-1117,24168,25285,60,TRUE,0,Chelsea
Maxwel Cornet,MID,West Ham,1,0,0,1,0,2.5,575,0,0,0,0,30,0,0,0.2,0,2022-08-21T13:00:00Z,15,0,0,0,0,3,0,9056,0,2,0,0,1,2938,5225,2287,60,TRUE,0,Brighton
Luis Sinisterra,MID,Leeds,-0.3,0,0,0,0,0.8,508,0,0,0,0,25,0,0,0.2,1.6,2022-08-21T13:00:00Z,20,0,0,0,0,3,0,14605,0,0,3,0,1,-1045,1241,2286,65,TRUE,0,Chelsea
Nathaniel Clyne,DEF,Crystal Palace,0.7,0,0,0,0,0,157,0,0,0,0,22,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,18526,0,1,3,0,0,1784,3542,1758,45,TRUE,0,Aston Villa
Stuart Armstrong,MID,Southampton,1.3,0,0,3,0,11.3,405,0,0,0,0,26,0,0,1.6,1.4,2022-08-20T14:00:00Z,20,0,0,0,0,3,0,10127,0,2,1,3,1,-570,1290,1860,50,FALSE,0,Leicester
Oriol Romeu,MID,Southampton,0.7,0,0,0,0,0,402,0,0,0,0,26,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,9275,0,2,1,0,0,-1568,210,1778,49,FALSE,0,Leicester
Tyler Roberts,MID,Leeds,0,0,0,0,0,0,229,0,0,0,0,25,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,82,0,0,3,0,0,-10,0,10,50,TRUE,0,Chelsea
Harrison Ashby,DEF,West Ham,0,0,0,0,0,0,555,0,0,0,0,30,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,32510,0,2,0,0,0,1676,5875,4199,40,TRUE,0,Brighton
Lewis Brunt,DEF,Leicester,0,0,0,0,0,0,273,0,0,0,0,26,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,29552,0,2,1,0,0,-1263,2014,3277,40,TRUE,0,Southampton
Matt Ritchie,DEF,Newcastle,-1,0,0,0,0,0,350,0,0,0,0,28,0,0,0,0,2022-08-21T15:30:00Z,0,0,0,0,0,3,0,8485,0,3,3,0,0,-1122,277,1399,44,TRUE,0,Man City
Jannik Vestergaard,DEF,Leicester,0,0,0,0,0,0,253,0,0,0,0,26,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,798116,0,2,1,0,0,-59509,37935,97444,40,TRUE,0,Southampton
Enock Mwepu,MID,Brighton,1,0,0,5,0,0.3,118,0,0,0,0,30,0,0,0.7,2.2,2022-08-21T13:00:00Z,5,0,0,0,0,3,0,10581,0,2,0,4,1,-1614,767,2381,54,FALSE,0,West Ham
Trevoh Chalobah,DEF,Chelsea,1,0,0,0,0,0,141,0,0,0,0,25,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,43342,0,0,3,0,0,-7683,1830,9513,49,FALSE,0,Leeds
Chris Richards,DEF,Crystal Palace,0.7,0,0,3,0,0.8,530,0,0,0,0,22,0,0,0.1,0.6,2022-08-20T14:00:00Z,1,0,0,0,0,3,0,6059,0,1,3,0,1,-425,200,625,45,TRUE,0,Aston Villa
Diogo Jota,FWD,Liverpool,0,0,0,0,0,0,288,0,0,0,0,27,0,0,0,0,2022-08-22T19:00:00Z,0,0,0,0,0,3,0,34014,0,1,2,0,0,-7033,1949,8982,89,FALSE,0,Man Utd
Martin Dubravka,GK,Newcastle,-1,0,0,0,0,0,355,0,0,0,0,28,0,0,0,0,2022-08-21T15:30:00Z,0,0,0,0,0,3,0,80477,0,3,3,0,0,-10482,2482,12964,44,TRUE,0,Man City
Rodrigo,MID,Leeds,10.7,1,2,27,1,11.9,225,0,0,0,0,25,0,1,12.6,48.2,2022-08-21T13:00:00Z,82,0,0,0,0,3,0,1174241,0,0,3,66,13,857935,957289,99354,62,TRUE,0,Chelsea
Chiquinho,MID,Wolves,0,0,0,0,0,0,490,0,0,0,0,29,0,0,0,0,2022-08-20T11:30:00Z,0,0,0,0,0,3,0,307,0,0,1,0,0,1,52,51,50,FALSE,0,Spurs
Mohammed Salisu,DEF,Southampton,0,0,0,12,0,0.7,420,0,0,0,0,26,1,0,2.3,18.6,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,14196,0,2,1,4,2,-1556,848,2404,44,FALSE,0,Leicester
Fred,MID,Man Utd,0.5,0,0,7,0,0.1,331,0,0,0,0,27,1,0,0.7,6.8,2022-08-22T19:00:00Z,19,0,0,0,0,3,0,65145,0,1,2,0,1,-20961,2951,23912,54,TRUE,0,Liverpool
Jakub Moder,MID,Brighton,0,0,0,0,0,0,117,0,0,0,0,30,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,2738,0,2,0,0,0,-486,113,599,45,FALSE,0,West Ham
Jean-Philippe Mateta,FWD,Crystal Palace,2,0,0,24,0,0.8,168,0,0,0,0,22,0,1,4.8,30,2022-08-20T14:00:00Z,20,0,0,0,0,3,0,56793,0,1,3,17,5,-7758,4857,12615,54,TRUE,0,Aston Villa
Salomón Rondón,FWD,Everton,1.2,0,0,0,0,12.7,177,0,0,0,0,23,0,0,3.1,0,2022-08-20T14:00:00Z,56,0,0,0,0,3,0,46658,0,1,1,19,1,7550,17760,10210,50,TRUE,0,Nott'm Forest
Liam Cooper,DEF,Leeds,-0.5,0,0,0,0,0,221,0,0,0,0,25,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,4105,0,0,3,0,0,-850,91,941,45,TRUE,0,Chelsea
Erling Haaland,FWD,Man City,9,0,0,28,0,11.9,318,0,0,0,0,28,3,1,12.5,43,2022-08-21T15:30:00Z,90,0,0,0,0,3,0,5676608,0,3,3,70,6,227317,368864,141547,117,FALSE,0,Newcastle
Lewis Cook,MID,Bournemouth,0.3,0,0,2,0,1.8,67,0,0,0,0,21,1,0,1.2,10.2,2022-08-20T16:30:00Z,45,0,0,0,0,3,0,5332,0,3,0,0,1,-462,374,836,50,TRUE,0,Arsenal
Remi Matthews,GK,Crystal Palace,0,0,0,0,0,0,495,0,0,0,0,22,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,3887,0,1,3,0,0,-276,0,276,40,TRUE,0,Aston Villa
Phil Foden,MID,Man City,5.7,0,0,17,0,36.5,314,0,0,0,0,28,3,0,8,12.4,2022-08-21T15:30:00Z,90,0,0,0,0,3,0,766938,0,3,3,31,2,114627,189602,74975,80,FALSE,0,Newcastle
Calvin Ramsay,DEF,Liverpool,0,0,0,0,0,0,298,0,0,0,0,27,0,0,0,0,2022-08-22T19:00:00Z,0,0,0,0,0,3,0,21405,0,1,2,0,0,-3064,1147,4211,40,FALSE,0,Man Utd
Steve Cook,DEF,Nott'm Forest,0.5,0,0,21,0,0.4,379,0,0,0,0,23,1,0,3.1,30.4,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,12421,0,1,1,0,2,-1961,490,2451,45,FALSE,0,Everton
Ryan Bertrand,DEF,Leicester,0,0,0,0,0,0,250,0,0,0,0,26,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,3953,0,2,1,0,0,-24,546,570,40,TRUE,0,Southampton
Sékou Mara,FWD,Southampton,1.7,0,0,1,0,0.8,528,0,0,0,0,26,1,0,0.9,2.2,2022-08-20T14:00:00Z,58,0,0,0,0,3,0,12621,0,2,1,6,1,2803,4522,1719,55,FALSE,0,Leicester
Scott McTominay,MID,Man Utd,0.5,0,0,14,0,0.5,338,0,0,0,0,27,1,0,1.4,13,2022-08-22T19:00:00Z,90,0,0,0,0,3,0,21148,0,1,2,0,2,-5578,1932,7510,49,TRUE,0,Liverpool
Xande Nascimento da Costa Silva,MID,Nott'm Forest,0,0,0,0,0,0,390,0,0,0,0,23,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,856,0,1,1,0,0,-320,0,320,50,FALSE,0,Everton
Dean Henderson,GK,Nott'm Forest,6.5,0,0,26,0,0,398,0,0,0,0,23,1,0,4.9,48.8,2022-08-20T14:00:00Z,90,0,0,0,0,3,7,765065,0,1,1,0,4,185685,219118,33433,45,FALSE,0,Everton
Jack Stacey,DEF,Bournemouth,-1.3,0,0,0,0,0,65,0,0,0,0,21,0,0,0,0,2022-08-20T16:30:00Z,0,0,0,0,0,3,0,4750,0,3,0,0,0,-604,104,708,44,TRUE,0,Arsenal
Mason Holgate,DEF,Everton,1.8,0,0,14,0,14,192,0,0,0,0,23,1,0,2.7,11.4,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,15904,0,1,1,2,2,58,2074,2016,45,TRUE,0,Nott'm Forest
Steven Alzate,MID,Brighton,0,0,0,0,0,0,115,0,0,0,0,30,0,0,0,0,2022-08-21T13:00:00Z,0,0,0,0,0,3,0,20806,0,2,0,0,0,-807,2807,3614,45,FALSE,0,West Ham
Mateusz Klich,MID,Leeds,0,0,0,1,0,0.3,223,0,0,0,0,25,0,0,0,0,2022-08-21T13:00:00Z,7,0,0,0,0,3,0,9421,0,0,3,0,1,-1508,599,2107,49,TRUE,0,Chelsea
Armel Bella-Kotchap,DEF,Southampton,2,1,0,19,0,12.1,423,0,0,0,0,26,1,0,5,26.8,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,6473,0,2,1,11,5,-399,221,620,45,FALSE,0,Leicester
Ainsley Maitland-Niles,MID,Arsenal,1,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,2022-08-20T16:30:00Z,0,0,0,0,0,3,0,4946,0,3,0,0,0,-785,619,1404,49,FALSE,0,Bournemouth
James Milner,MID,Liverpool,3.2,0,0,13,0,12.3,274,0,0,0,0,27,2,0,5.2,5.2,2022-08-22T19:00:00Z,72,0,0,0,0,3,0,138748,0,1,2,34,2,40295,60877,20582,45,FALSE,0,Man Utd
Keane Lewis-Potter,MID,Brentford,1.2,0,0,4,0,10.2,515,0,0,0,0,24,1,0,3.7,3.2,2022-08-20T14:00:00Z,30,0,0,0,0,3,0,8677,0,2,3,24,1,-1826,337,2163,54,FALSE,0,Fulham
Kevin De Bruyne,MID,Man City,9.3,1,0,25,0,70.4,301,0,0,0,0,28,3,0,13.6,38.2,2022-08-21T15:30:00Z,90,0,0,0,0,3,0,2104831,0,3,3,27,5,407691,481367,73676,121,FALSE,0,Newcastle
Sepp van den Berg,DEF,Liverpool,0.5,0,0,0,0,0,500,0,0,0,0,27,0,0,0,0,2022-08-22T19:00:00Z,0,0,0,0,0,3,0,29008,0,1,2,0,0,-45,3545,3590,40,FALSE,0,Man Utd
Joe Gelhardt,FWD,Leeds,-0.3,0,0,-1,0,0.1,242,0,0,0,0,25,0,0,0,0,2022-08-21T13:00:00Z,7,0,0,0,0,3,0,42521,0,0,3,0,1,-12330,1002,13332,54,TRUE,0,Chelsea
Diego Carlos,DEF,Aston Villa,0,0,0,0,0,0,50,0,0,0,0,22,0,0,0,0,2022-08-20T14:00:00Z,0,0,0,0,0,3,0,49891,0,1,3,0,0,-47429,625,48054,49,FALSE,0,Crystal Palace
Lucas Moura,MID,Spurs,1.2,0,0,0,0,0,431,0,0,0,0,29,0,0,0,0,2022-08-20T11:30:00Z,0,0,0,0,0,3,0,32079,0,0,1,0,0,-2992,3541,6533,59,TRUE,0,Wolves
Ben Mee,DEF,Brentford,5.2,0,0,7,0,1,526,0,0,0,0,24,3,0,2.2,7.6,2022-08-20T14:00:00Z,90,0,0,0,0,3,0,366260,0,2,3,13,0,255395,291643,36248,46,FALSE,1,Fulham
Marquinhos,MID,Arsenal,1,0,0,0,0,0,27,0,0,0,0,21,0,0,0,0,2022-08-20T16:30:00Z,0,0,0,0,0,3,0,8125,0,3,0,0,0,-1501,964,2465,49,FALSE,0,Bournemouth
Daniel James,MID,Leeds,0.3,0,0,10,1,15.1,231,0,0,0,0,25,0,0,2.4,5.4,2022-08-21T13:00:00Z,69,0,0,0,0,3,0,6733,0,0,3,3,3,164,1348,1184,60,TRUE,0,Chelsea
