name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0,0,0,0,0,0,403,0,0,0,0,147,0,0,0,0,2022-11-06T14:00:00Z,0,0,0,0,0,15,0,3088,0,4,1,0,0,-61,0,61,53,TRUE,0,Newcastle
Junior Stanislas,MID,Bournemouth,-0.1,0,0,3,0,0,58,0,0,0,0,144,0,0,0,0,2022-11-05T15:00:00Z,2,0,0,0,0,15,0,2487,0,3,4,0,1,-96,40,136,48,FALSE,0,Leeds
Armando Broja,FWD,Chelsea,1.8,0,0,-2,0,0.3,150,0,0,0,0,142,0,0,0.4,2,2022-11-06T12:00:00Z,26,0,0,0,0,15,0,61548,0,1,0,2,1,514,6445,5931,53,TRUE,0,Arsenal
Fabian Schär,DEF,Newcastle,4.6,0,0,10,0,0.3,366,0,0,0,0,147,1,0,1.7,16.2,2022-11-06T14:00:00Z,90,0,0,0,0,15,0,1241216,0,4,1,0,2,-99943,67817,167760,49,FALSE,0,Southampton
Jonny Evans,DEF,Leicester,0,0,0,0,0,0,249,0,0,0,0,143,0,0,0,0,2022-11-05T17:30:00Z,0,0,0,0,0,15,0,20964,0,2,0,0,0,-1044,26,1070,44,FALSE,0,Everton
Brennan Johnson,FWD,Nott'm Forest,0.7,0,0,6,0,12.2,394,0,0,0,0,146,2,0,6.1,9.2,2022-11-05T15:00:00Z,90,0,0,0,0,15,0,92840,0,2,2,40,2,-3774,3885,7659,56,TRUE,0,Brentford
Cheick Doucouré,MID,Crystal Palace,0.4,0,0,15,0,3.8,514,0,0,0,0,149,1,0,2.3,12,2022-11-06T14:00:00Z,76,0,0,0,0,15,0,12336,0,2,1,7,2,-1510,40,1550,50,FALSE,0,West Ham
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0,553,0,0,0,0,146,0,0,0,0,2022-11-05T15:00:00Z,0,0,0,0,0,15,0,3843,0,2,2,0,0,-99,96,195,43,TRUE,0,Brentford
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,150,0,0,0,0,2022-11-05T15:00:00Z,0,0,0,0,0,15,0,23484,0,3,2,0,0,-976,0,976,44,TRUE,0,Brighton
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,146,0,0,0,0,2022-11-05T15:00:00Z,0,0,0,0,0,15,0,17067,0,2,2,0,0,-478,0,478,40,FALSE,0,Nott'm Forest
