name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0,0,0,0,0,0,403,0,0,0,0,71,0,0,0,0,2022-09-16T19:00:00Z,0,0,0,0,0,8,0,4337,0,0,1,0,0,-420,0,420,53,FALSE,0,Aston Villa
Junior Stanislas,MID,Bournemouth,-0.4,0,0,0,0,0,58,0,0,0,0,77,0,0,0,0,2022-09-17T14:00:00Z,0,0,0,0,0,8,0,2825,0,1,1,0,0,-180,23,203,48,FALSE,0,Newcastle
Fabian Schär,DEF,Newcastle,2.7,0,0,13,0,14.1,366,0,0,0,0,77,1,0,7.3,20.8,2022-09-17T14:00:00Z,90,0,0,0,0,8,0,1003174,0,1,1,38,2,135674,165970,30296,47,TRUE,0,Bournemouth
Jonny Evans,DEF,Leicester,0,0,0,16,0,3.1,249,0,0,0,0,79,6,0,2.7,24,2022-09-17T16:30:00Z,90,0,0,0,0,8,0,27598,0,2,6,0,-1,-591,531,1122,44,FALSE,0,Spurs
Brennan Johnson,FWD,Nott'm Forest,2.3,0,0,6,0,11.3,394,0,0,0,0,78,3,0,1.5,1.4,2022-09-16T19:00:00Z,90,0,0,0,0,8,0,154068,0,3,2,2,2,5321,18807,13486,59,TRUE,0,Fulham
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0,553,0,0,0,0,78,0,0,0,0,2022-09-16T19:00:00Z,0,0,0,0,0,8,0,4273,0,3,2,0,0,42,163,121,44,TRUE,0,Fulham
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,80,0,0,0,0,2022-09-17T11:30:00Z,0,0,0,0,0,8,0,31198,0,3,0,0,0,-1437,0,1437,44,TRUE,0,Man City
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,72,0,0,0,0,2022-09-18T11:00:00Z,0,0,0,0,0,8,0,22410,0,3,0,0,0,-1191,0,1191,40,TRUE,0,Arsenal
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0,451,0,0,0,0,79,0,0,0,0,2022-09-17T16:30:00Z,0,0,0,0,0,8,0,32036,0,2,6,0,0,-560,181,741,40,TRUE,0,Leicester
Gianluca Scamacca,FWD,West Ham,0.5,0,0,-2,0,0.3,529,0,0,0,0,75,0,0,0,0,2022-09-18T13:15:00Z,20,0,0,0,0,8,0,41471,0,0,1,2,0,-637,1058,1695,67,FALSE,1,Everton
