name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Riyad Mahrez,MID,Man City,3.5,0,0,15,1,42.7,303,0,0,0,0,17,0,0,8.2,14,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,431771,0,0,4,25,3,-79576,24182,103758,80,TRUE,0,Bournemouth
Danny Ings,FWD,Aston Villa,3.5,0,1,23,1,10,30,0,0,0,0,12,0,1,8.9,31.8,2022-08-13T11:30:00Z,77,0,0,0,0,2,0,168411,0,1,2,47,6,-31634,12338,43972,70,TRUE,1,Everton
Andros Townsend,MID,Everton,0,0,0,0,0,0,179,0,0,0,0,12,0,0,0,0,2022-08-13T11:30:00Z,0,0,0,0,0,2,0,606,0,1,2,0,0,-32,83,115,55,FALSE,0,Aston Villa
Marcus Tavernier,MID,Bournemouth,1,0,0,2,0,1.2,535,0,0,0,0,17,4,0,0.3,1.6,2022-08-13T14:00:00Z,79,0,0,0,0,2,0,10752,0,0,4,0,2,1691,2807,1116,50,FALSE,0,Man City
Ivan Neves Abreu Cavaleiro,MID,Fulham,-0.5,0,0,0,0,0,214,0,0,0,0,20,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,7351,0,0,0,0,0,-1070,547,1617,50,FALSE,0,Wolves
Jonjo Shelvey,MID,Newcastle,0,0,0,0,0,0,349,0,0,0,0,14,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,3754,0,0,0,0,0,-1186,96,1282,50,FALSE,0,Brighton
Victor Lindelöf,DEF,Man Utd,0,0,0,0,0,0,337,0,0,0,0,13,0,0,0,0,2022-08-13T16:30:00Z,0,0,0,0,0,2,0,17907,0,0,4,0,0,-4786,578,5364,45,FALSE,0,Brentford
Miguel Almirón,MID,Newcastle,3,0,0,8,1,2.3,369,0,0,0,0,14,0,0,2.3,14.4,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,127545,0,0,0,6,3,7683,20856,13173,50,FALSE,0,Brighton
Odsonne Edouard,FWD,Crystal Palace,-0.5,0,0,1,0,0.8,166,0,0,0,0,16,0,0,0.6,3.6,2022-08-15T19:00:00Z,27,0,0,0,0,2,0,271050,0,1,1,2,0,-21209,20404,41613,55,FALSE,1,Liverpool
Christian Benteke,FWD,Crystal Palace,0,0,0,0,0,0,155,0,0,0,0,16,0,0,0,0,2022-08-15T19:00:00Z,0,0,0,0,0,2,0,62400,0,1,1,0,0,-28459,3358,31817,55,FALSE,0,Liverpool
Tim Iroegbunam,MID,Aston Villa,0,0,0,0,0,0,49,0,0,0,0,12,0,0,0,0,2022-08-13T11:30:00Z,0,0,0,0,0,2,0,3511,0,1,2,0,0,-57,335,392,45,TRUE,0,Everton
Lyle Taylor,FWD,Nott'm Forest,-0.5,0,0,0,0,0,380,0,0,0,0,18,0,0,0,0,2022-08-14T13:00:00Z,0,0,0,0,0,2,0,955052,0,0,1,0,0,-53807,41452,95259,45,TRUE,0,West Ham
Jack Colback,MID,Nott'm Forest,0.5,0,0,0,0,0,381,0,0,0,0,18,0,0,0,0,2022-08-14T13:00:00Z,0,0,0,0,0,2,0,156368,0,0,1,0,0,4942,16047,11105,45,TRUE,0,West Ham
Elliot Anderson,MID,Newcastle,0,0,0,0,0,0,552,0,0,0,0,14,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,16148,0,0,0,0,0,1001,2914,1913,45,FALSE,0,Brighton
