name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,1.5,0,0,3,0,0,403,0,0,0,0,8,0,0,0,0,2022-08-06T14:00:00Z,1,0,0,0,0,1,0,5871,0,1,4,0,1,0,0,0,55,FALSE,0,Spurs
Junior Stanislas,MID,Bournemouth,1.1,0,0,3,0,0,58,0,0,0,0,2,0,0,0,0,2022-08-06T14:00:00Z,1,0,0,0,0,1,0,9491,0,0,2,0,1,0,0,0,50,TRUE,0,Aston Villa
Armando Broja,FWD,Chelsea,2,0,0,3,0,0.3,150,0,0,0,0,3,0,0,2.5,5.2,2022-08-06T16:30:00Z,15,0,0,0,0,1,0,124903,0,1,0,19,1,0,0,0,55,FALSE,0,Everton
Fabian Schär,DEF,Newcastle,2.4,0,3,43,1,14.6,366,0,0,0,0,7,0,1,10.6,66,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,40132,0,0,2,25,15,0,0,0,45,TRUE,0,Nott'm Forest
Jonny Evans,DEF,Leicester,1.9,0,0,15,0,1.3,249,0,0,0,0,6,2,0,1.5,14,2022-08-07T13:00:00Z,90,0,0,0,0,1,0,24256,0,2,2,0,1,0,0,0,45,TRUE,0,Brentford
Brennan Johnson,FWD,Nott'm Forest,1.3,0,0,3,0,0.9,394,0,0,0,0,7,2,0,0.6,0,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,171887,0,0,2,6,2,0,0,0,60,FALSE,0,Newcastle
Cheick Doucouré,MID,Crystal Palace,1.1,0,0,16,0,3.8,514,0,0,0,0,1,1,0,1,5.8,2022-08-05T19:00:00Z,74,0,0,0,0,1,0,9875,0,2,0,0,2,0,0,0,50,TRUE,0,Arsenal
Oliver Hammond,MID,Nott'm Forest,0.5,0,0,0,0,0,553,0,0,0,0,7,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,3300,0,0,2,0,0,0,0,0,45,FALSE,0,Newcastle
Luke Cundle,MID,Wolves,1.5,0,0,0,0,0,485,0,0,0,0,5,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,36521,0,1,2,0,0,0,0,0,45,FALSE,0,Leeds
Fin Stevens,DEF,Brentford,1,0,0,0,0,0,540,0,0,0,0,6,0,0,0,0,2022-08-07T13:00:00Z,0,0,0,0,0,1,0,15679,0,2,2,0,0,0,0,0,40,FALSE,0,Leicester
Brandon Austin,GK,Spurs,1.5,0,0,0,0,0,451,0,0,0,0,8,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,27621,0,1,4,0,0,0,0,0,40,TRUE,0,Southampton
Luka Milivojevic,MID,Crystal Palace,0.5,0,0,3,0,1.4,158,0,0,0,0,1,1,0,0.2,0.8,2022-08-05T19:00:00Z,15,0,0,0,0,1,0,54854,0,2,0,0,1,0,0,0,45,TRUE,0,Arsenal
Wesley Fofana,DEF,Leicester,1.9,0,0,12,0,3.3,272,0,0,0,0,6,2,0,2.9,19.2,2022-08-07T13:00:00Z,90,0,0,0,0,1,0,128115,0,2,2,6,1,0,0,0,45,TRUE,0,Brentford
Gianluca Scamacca,FWD,West Ham,0.3,0,0,1,0,0.7,529,0,0,0,0,10,1,0,0.1,0,2022-08-07T15:30:00Z,33,0,0,0,0,1,0,100675,0,2,0,0,1,0,0,0,70,TRUE,0,Man City
Alisson,GK,Liverpool,5.5,0,0,11,0,0,281,0,0,0,0,4,2,0,0.8,8.2,2022-08-06T11:30:00Z,90,0,0,0,0,1,1,1567712,0,2,2,0,1,0,0,0,55,FALSE,0,Fulham
Che Adams,FWD,Southampton,1.5,0,0,0,0,0,411,0,0,0,0,8,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,61566,0,1,4,0,0,0,0,0,65,FALSE,0,Spurs
Sam Greenwood,FWD,Leeds,0.5,0,0,4,0,0.5,237,0,0,0,0,5,0,0,2.2,0.4,2022-08-06T14:00:00Z,17,0,0,0,0,1,0,1895580,0,1,2,21,1,0,0,0,45,TRUE,0,Wolves
Nathaniel Chalobah,MID,Fulham,0,0,0,0,0,0,203,0,0,0,0,4,0,0,0,0,2022-08-06T11:30:00Z,0,0,0,0,0,1,0,12756,0,2,2,0,0,0,0,0,45,TRUE,0,Liverpool
Nathaniel Phillips,DEF,Liverpool,2.5,0,0,0,0,0,501,0,0,0,0,4,0,0,0,0,2022-08-06T11:30:00Z,0,0,0,0,0,1,0,19157,0,2,2,0,0,0,0,0,40,FALSE,0,Fulham
Loïc Mbe Soh,DEF,Nott'm Forest,1.4,0,0,0,0,0,393,0,0,0,0,7,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,3761,0,0,2,0,0,0,0,0,45,FALSE,0,Newcastle
Jason Steele,GK,Brighton,0.5,0,0,0,0,0,102,0,0,0,0,9,0,0,0,0,2022-08-07T13:00:00Z,0,0,0,0,0,1,0,75605,0,2,1,0,0,0,0,0,40,FALSE,0,Man Utd
Tosin Adarabioyo,DEF,Fulham,0.4,0,0,11,0,0.4,209,0,0,0,0,4,2,0,1.9,18.4,2022-08-06T11:30:00Z,90,0,0,0,0,1,0,5971,0,2,2,0,1,0,0,0,45,TRUE,0,Liverpool
Kalvin Phillips,MID,Man City,2.6,0,0,3,0,0.5,325,0,0,0,0,10,0,0,0.1,0.6,2022-08-07T15:30:00Z,1,0,0,0,0,1,0,45423,0,2,0,0,1,0,0,0,50,FALSE,0,West Ham
Cafú,MID,Nott'm Forest,0.5,0,0,0,0,0,383,0,0,0,0,7,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,42723,0,0,2,0,0,0,0,0,45,FALSE,0,Newcastle
Marek Rodák,GK,Fulham,0.7,0,0,11,0,0,213,0,0,0,0,4,2,0,1,10.2,2022-08-06T11:30:00Z,90,0,0,0,0,1,1,12206,0,2,2,0,1,0,0,0,45,TRUE,0,Liverpool
Ryan Fraser,MID,Newcastle,2.5,0,0,4,0,10.3,359,0,0,0,0,7,0,0,1.3,2.2,2022-08-06T14:00:00Z,9,0,0,0,0,1,0,14743,0,0,2,0,1,0,0,0,55,TRUE,0,Nott'm Forest
Luke Thomas,DEF,Leicester,1.9,0,0,0,0,0,270,0,0,0,0,6,0,0,0,0,2022-08-07T13:00:00Z,0,0,0,0,0,1,0,8036,0,2,2,0,0,0,0,0,45,TRUE,0,Brentford
Karl Darlow,GK,Newcastle,1.5,0,0,0,0,0,353,0,0,0,0,7,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,236781,0,0,2,0,0,0,0,0,40,TRUE,0,Nott'm Forest
Rodri,MID,Man City,3.2,0,0,18,1,5.8,315,0,0,0,0,10,0,0,2.3,16,2022-08-07T15:30:00Z,88,0,0,0,0,1,0,220268,0,2,0,1,3,0,0,0,60,FALSE,0,West Ham
Cristiano Ronaldo,FWD,Man Utd,4.1,0,0,3,0,11.5,326,0,0,0,0,9,0,0,3.6,4.6,2022-08-07T13:00:00Z,37,0,0,0,0,1,0,352984,0,2,1,20,1,0,0,0,105,TRUE,0,Brighton
Fraser Forster,GK,Spurs,1.5,0,0,0,0,0,426,0,0,0,0,8,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,525074,0,1,4,0,0,0,0,0,40,TRUE,0,Southampton
Alex Oxlade-Chamberlain,MID,Liverpool,0,0,0,0,0,0,278,0,0,0,0,4,0,0,0,0,2022-08-06T11:30:00Z,0,0,0,0,0,1,0,1145,0,2,2,0,0,0,0,0,50,FALSE,0,Fulham
Jack Grealish,MID,Man City,3.4,0,0,19,1,29.2,305,0,0,0,0,10,0,0,5,7.2,2022-08-07T15:30:00Z,90,0,0,0,0,1,0,327616,0,2,0,14,3,0,0,0,70,FALSE,0,West Ham
James McAtee,MID,Man City,0,0,0,0,0,0,317,0,0,0,0,10,0,0,0,0,2022-08-07T15:30:00Z,0,0,0,0,0,1,0,1259,0,2,0,0,0,0,0,0,45,FALSE,0,West Ham
Will Smallbone,MID,Southampton,0,0,0,0,0,0,415,0,0,0,0,8,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,2166,0,1,4,0,0,0,0,0,45,FALSE,0,Spurs
Chris Wood,FWD,Newcastle,2.3,0,0,2,0,0,354,0,0,0,0,7,0,0,0,0,2022-08-06T14:00:00Z,1,0,0,0,0,1,0,137537,0,0,2,0,1,0,0,0,60,TRUE,0,Nott'm Forest
Darren Randolph,GK,West Ham,0,0,0,0,0,0,571,0,0,0,0,10,0,0,0,0,2022-08-07T15:30:00Z,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,40,TRUE,0,Man City
Leander Dendoncker,MID,Wolves,2.1,0,0,21,0,16.5,479,0,0,0,0,5,2,0,7.8,24.4,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,13096,0,1,2,37,2,0,0,0,50,FALSE,0,Leeds
Allan,MID,Everton,1.1,0,0,0,0,0,183,0,0,0,0,3,0,0,0,0,2022-08-06T16:30:00Z,0,0,0,0,0,1,0,11086,0,1,0,0,0,0,0,0,50,TRUE,0,Chelsea
Ibrahima Konaté,DEF,Liverpool,0,0,0,0,0,0,290,0,0,0,0,4,0,0,0,0,2022-08-06T11:30:00Z,0,0,0,0,0,1,0,57031,0,2,2,0,0,0,0,0,50,FALSE,0,Fulham
Aleksandar Mitrović,FWD,Fulham,0.6,0,3,57,0,14.7,210,0,0,0,0,4,2,2,15.5,82,2022-08-06T11:30:00Z,90,0,0,0,0,1,0,509091,0,2,2,58,13,0,0,0,65,TRUE,0,Liverpool
Christian Eriksen,MID,Man Utd,2.8,0,0,17,0,42.5,519,0,0,0,0,9,2,0,10.5,28.6,2022-08-07T13:00:00Z,90,0,0,0,0,1,0,361793,0,2,1,34,2,0,0,0,65,TRUE,0,Brighton
Joe Willock,MID,Newcastle,2.1,0,0,6,1,14.4,373,0,0,0,0,7,0,0,8.1,14,2022-08-06T14:00:00Z,79,0,0,0,0,1,0,45439,0,0,2,53,3,0,0,0,50,TRUE,0,Nott'm Forest
Yerson Mosquera Valdelamar,DEF,Wolves,1.5,0,0,0,0,0,494,0,0,0,0,5,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,77448,0,1,2,0,0,0,0,0,40,FALSE,0,Leeds
Roméo Lavia,MID,Southampton,0.5,0,0,17,0,4.3,321,0,0,0,0,8,4,0,2.4,12,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,18407,0,1,4,8,2,0,0,0,45,FALSE,0,Spurs
Kristoffer Ajer,DEF,Brentford,0,0,0,0,0,0,84,0,0,0,0,6,0,0,0,0,2022-08-07T13:00:00Z,0,0,0,0,0,1,0,2520,0,2,2,0,0,0,0,0,45,FALSE,0,Leicester
Will Hughes,MID,Crystal Palace,1.1,0,0,2,0,0.3,163,0,0,0,0,1,0,0,0.4,0,2022-08-05T19:00:00Z,4,0,0,0,0,1,0,2729,0,2,0,4,1,0,0,0,50,TRUE,0,Arsenal
Joe Ayodele-Aribo,MID,Southampton,1.5,0,0,5,0,5.2,512,0,0,0,0,8,4,0,3.8,9.4,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,50924,0,1,4,23,2,0,0,0,55,FALSE,0,Spurs
Orel Mangala,MID,Nott'm Forest,1.1,0,0,3,0,0.2,536,0,0,0,0,7,1,0,0.3,2.6,2022-08-06T14:00:00Z,15,0,0,0,0,1,0,3088,0,0,2,0,1,0,0,0,50,FALSE,0,Newcastle
Luke Plange,FWD,Crystal Palace,0.5,0,0,0,0,0,496,0,0,0,0,1,0,0,0,0,2022-08-05T19:00:00Z,0,0,0,0,0,1,0,124669,0,2,0,0,0,0,0,0,45,TRUE,0,Arsenal
Cristian Romero,DEF,Spurs,2.8,0,0,11,0,2.7,443,0,0,0,0,8,1,0,2.4,8,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,200747,0,1,4,13,2,0,0,0,50,TRUE,0,Southampton
Jack Harrison,MID,Leeds,1.7,1,2,25,0,78.8,233,0,0,0,0,5,1,0,12.4,34.8,2022-08-06T14:00:00Z,90,0,0,0,0,1,0,79451,0,1,2,10,6,0,0,0,60,TRUE,1,Wolves
Luis Sinisterra,MID,Leeds,0,0,0,0,0,0,508,0,0,0,0,5,0,0,0,0,2022-08-06T14:00:00Z,0,0,0,0,0,1,0,17295,0,1,2,0,0,0,0,0,65,TRUE,0,Wolves
Nathaniel Clyne,DEF,Crystal Palace,1.4,0,0,9,0,14.1,157,0,0,0,0,1,2,0,2.3,8.4,2022-08-05T19:00:00Z,90,0,0,0,0,1,0,11649,0,2,0,0,0,0,0,0,45,TRUE,1,Arsenal
Stuart Armstrong,MID,Southampton,1.1,0,0,0,0,2.6,405,0,0,0,0,8,2,0,0.6,3.4,2022-08-06T14:00:00Z,45,0,0,0,0,1,0,9352,0,1,4,0,1,0,0,0,50,FALSE,0,Spurs
