name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,-0.3,0,0,0,0,0,403,0,0,0,0,39,0,0,0,0,2022-08-27T11:30:00Z,0,0,0,0,0,4,0,5352,0,1,0,0,0,-800,145,945,54,TRUE,0,Man Utd
Junior Stanislas,MID,Bournemouth,0,0,0,0,0,0,58,0,0,0,0,36,0,0,0,0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,5341,0,0,9,0,0,-2093,103,2196,49,FALSE,0,Liverpool
Armando Broja,FWD,Chelsea,1,0,0,0,0,0,150,0,0,0,0,35,0,0,0,0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,75964,0,1,2,0,0,-23103,1092,24195,54,TRUE,0,Leicester
Fabian Schär,DEF,Newcastle,5.2,0,0,11,0,31.1,366,0,0,0,0,40,1,0,5.5,13.2,2022-08-28T13:00:00Z,90,0,0,0,0,4,0,830397,0,1,1,11,1,86674,164452,77778,47,FALSE,1,Wolves
Jonny Evans,DEF,Leicester,0.3,0,0,17,0,1,249,0,0,0,0,35,2,0,1.6,12.8,2022-08-27T14:00:00Z,90,0,0,0,0,4,0,28748,0,1,2,2,1,-2483,1088,3571,45,FALSE,0,Chelsea
Brennan Johnson,FWD,Nott'm Forest,2.2,0,0,5,0,3.3,394,0,0,0,0,38,2,0,3.1,1.6,2022-08-28T15:30:00Z,90,0,0,0,0,4,0,164821,0,2,0,26,1,12784,31958,19174,59,TRUE,1,Spurs
Cheick Doucouré,MID,Crystal Palace,1,0,0,9,0,0.6,514,0,0,0,0,37,4,0,2.5,17,2022-08-27T14:00:00Z,90,0,0,0,0,4,0,12952,0,2,4,7,2,-1725,921,2646,50,FALSE,0,Man City
Oliver Hammond,MID,Nott'm Forest,-1,0,0,0,0,0,553,0,0,0,0,38,0,0,0,0,2022-08-28T15:30:00Z,0,0,0,0,0,4,0,3942,0,2,0,0,0,-475,170,645,45,TRUE,0,Spurs
Luke Cundle,MID,Wolves,0,0,0,0,0,0,485,0,0,0,0,40,0,0,0,0,2022-08-28T13:00:00Z,0,0,0,0,0,4,0,40408,0,1,1,0,0,292,6015,5723,44,TRUE,0,Newcastle
Fin Stevens,DEF,Brentford,0,0,0,0,0,0,540,0,0,0,0,33,0,0,0,0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,30275,0,1,1,0,0,-744,2485,3229,40,TRUE,0,Everton
Brandon Austin,GK,Spurs,1,0,0,0,0,0,451,0,0,0,0,38,0,0,0,0,2022-08-28T15:30:00Z,0,0,0,0,0,4,0,33341,0,2,0,0,0,-1083,810,1893,40,FALSE,0,Nott'm Forest
Luka Milivojevic,MID,Crystal Palace,-0.2,0,0,0,0,0,158,0,0,0,0,37,0,0,0,0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,59431,0,2,4,0,0,-6715,2622,9337,45,FALSE,0,Man City
Wesley Fofana,DEF,Leicester,-0.5,0,0,0,0,0,272,0,0,0,0,35,0,0,0,0,2022-08-27T14:00:00Z,0,0,0,0,0,4,0,139943,0,1,2,0,0,-18981,9312,28293,44,FALSE,0,Chelsea
Gianluca Scamacca,FWD,West Ham,1.2,0,0,8,1,12.3,529,0,0,0,0,32,0,0,3.1,9.4,2022-08-28T13:00:00Z,64,0,0,0,0,4,0,74541,0,1,0,9,2,-15044,5727,20771,69,FALSE,0,Aston Villa
Alisson,GK,Liverpool,4,0,0,24,1,0,281,0,0,0,0,36,0,0,1.6,16.2,2022-08-27T14:00:00Z,90,0,0,0,0,4,2,1568834,0,0,9,0,6,-80378,52421,132799,55,TRUE,0,Bournemouth
